product,date,sensing_start,swath,mds1_pol,mds2_pol,K_mds1,K_mds2,valid_km2_in_grid
ASA_APP_1PNESA20120222_200929_000000183112_00042_52211_0000,2012-02-22,22-FEB-2012 20:09:29.025626,IS4,H/V,H/H,639981.875,639981.875,6589.0
ASA_APP_1PNESA20120222_200944_000000183112_00042_52211_0000,2012-02-22,22-FEB-2012 20:09:43.918359,IS4,H/V,H/H,639981.875,639981.875,4460.8
ASA_APP_1PNESA20111105_200545_000000183108_00200_50645_0000,2011-11-05,05-NOV-2011 20:05:45.311234,IS2,H/V,H/H,423642.9375,423642.9375,4048.9
ASA_APP_1PNESA20111105_200600_000000183108_00200_50645_0000,2011-11-05,05-NOV-2011 20:06:00.494570,IS2,H/V,H/H,423642.9375,423642.9375,3800.8
ASA_APP_1PNESA20111113_201229_000000183108_00315_50760_0000,2011-11-13,13-NOV-2011 20:12:29.295035,IS4,H/V,H/H,639981.875,639981.875,3880.7
ASA_APP_1PNESA20111113_201244_000000183108_00315_50760_0000,2011-11-13,13-NOV-2011 20:12:44.444528,IS4,H/V,H/H,639981.875,639981.875,942.1
ASA_APP_1PNESA20111116_200228_000000183108_00358_50803_0000,2011-11-16,16-NOV-2011 20:02:28.455459,IS2,H/V,H/H,423642.9375,423642.9375,3479.3
ASA_APP_1PNESA20111116_200244_000000183108_00358_50803_0000,2011-11-16,16-NOV-2011 20:02:43.638795,IS2,H/V,H/H,423642.9375,423642.9375,5784.2
ASA_APP_1PNESA20111116_200258_000000183108_00358_50803_0000,2011-11-16,16-NOV-2011 20:02:58.584888,IS2,H/V,H/H,423642.9375,423642.9375,0.0
ASA_APP_1PNESA20111205_200556_000000183109_00200_51076_0000,2011-12-05,05-DEC-2011 20:05:56.200268,IS2,H/V,H/H,423642.9375,423642.9375,4009.4
ASA_APP_1PNESA20111205_200611_000000183109_00200_51076_0000,2011-12-05,05-DEC-2011 20:06:11.146360,IS2,H/V,H/H,423642.9375,423642.9375,4030.0
ASA_APP_1PNESA20111216_200239_000000183109_00358_51234_0000,2011-12-16,16-DEC-2011 20:02:39.482629,IS2,H/V,H/H,423642.9375,423642.9375,3326.2
ASA_APP_1PNESA20111216_200254_000000183109_00358_51234_0000,2011-12-16,16-DEC-2011 20:02:54.428798,IS2,H/V,H/H,423642.9375,423642.9375,5988.7
ASA_APP_1PNESA20111216_200309_000000183109_00358_51234_0000,2011-12-16,16-DEC-2011 20:03:09.612134,IS2,H/V,H/H,423642.9375,423642.9375,0.0
ASA_APP_1PNESA20111224_200911_000000173110_00042_51349_0000,2011-12-24,24-DEC-2011 20:09:11.610613,IS4,H/V,H/H,639981.875,639981.875,1851.4
ASA_APP_1PNESA20111224_200921_000000183110_00042_51349_0000,2011-12-24,24-DEC-2011 20:09:21.624683,IS4,H/V,H/H,639981.875,639981.875,7107.2
ASA_APP_1PNESA20111224_200937_000000183110_00042_51349_0000,2011-12-24,24-DEC-2011 20:09:36.774176,IS4,H/V,H/H,639981.875,639981.875,3810.6
ASA_APP_1PNESA20120104_200605_000000183110_00200_51507_0000,2012-01-04,04-JAN-2012 20:06:04.925797,IS2,H/V,H/H,423642.9375,423642.9375,3783.9
ASA_APP_1PNESA20120104_200620_000000183110_00200_51507_0000,2012-01-04,04-JAN-2012 20:06:19.871890,IS2,H/V,H/H,423642.9375,423642.9375,4209.9
ASA_APP_1PNESA20120104_200623_000000163110_00200_51507_0000,2012-01-04,04-JAN-2012 20:06:22.718768,IS2,H/V,H/H,423642.9375,423642.9375,3106.8
ASA_APP_1PNESA20120112_201247_000000183110_00315_51622_0000,2012-01-12,12-JAN-2012 20:12:46.693190,IS4,H/V,H/H,639981.875,639981.875,3800.1
ASA_APP_1PNESA20120112_201301_000000183110_00315_51622_0000,2012-01-12,12-JAN-2012 20:13:01.585633,IS4,H/V,H/H,639981.875,639981.875,1211.7
