date,frames,vicinity_covered,optical_open_water_km2_gt_0.10,optical_open_water_km2_gt_0,open_water_km2_mndwi_gt_0.10,open_water_km2_mndwi_gt_0,flooded_km2_within_10km,flooded_share_of_nonwater_within_10km,combined_km2_within_10km,t_hhhv_dB,t_hh_dB,dry_land_false_positive,HH_water_median_dB,HH_dry_median_dB,HV_water_median_dB,HV_dry_median_dB,incidence_lake_median_deg
2011-11-05,2,0.145,1083.4,1108.4,,,,,,,,,,,,,
2011-11-13,2,0.0,1073.9,1101.4,,,,,,,,,,,,,
2011-11-16,3,0.5801,1070.9,1099.4,627.0,649.1,39.6,0.0383,666.6,11.34,-4.55,0.0256,-10.09,-8.82,-23.0,-16.55,21.2
2011-12-05,2,0.1563,1060.4,1095.2,,,,,,,,,,,,,
2011-12-16,3,0.5754,1063.9,1101.7,616.6,644.2,34.8,0.0338,651.4,10.55,-4.1,0.0227,-9.15,-7.17,-22.34,-14.83,21.2
2011-12-24,3,0.9289,1073.0,1110.2,1071.2,1108.2,84.1,0.053,1155.3,9.22,-6.29,0.0231,-18.6,-9.4,-23.26,-15.88,32.8
2012-01-04,3,0.1595,1092.6,1122.3,,,,,,,,,,,,,
2012-01-12,2,0.0,1105.7,1129.5,,,,,,,,,,,,,
2012-01-15,3,0.5668,1109.7,1131.9,637.5,652.6,51.7,0.0523,689.2,10.28,-3.76,0.0282,-14.96,-6.43,-23.32,-14.02,21.2
2012-02-03,2,0.1676,1126.3,1147.6,,,,,,,,,,,,,
2012-02-11,2,0.0,1131.2,1154.5,,,,,,,,,,,,,
2012-02-14,3,0.5628,1132.8,1157.3,646.2,665.4,63.7,0.0657,709.9,9.6,-5.55,0.0215,-10.01,-8.88,-23.29,-15.95,21.2
2012-02-22,2,0.9266,1136.8,1164.4,1133.8,1161.1,261.6,0.1719,1395.5,8.37,-7.06,0.0222,-18.94,-9.43,-23.15,-15.76,32.8
2012-03-04,2,0.1526,1141.4,1172.1,,,,,,,,,,,,,
2012-03-12,2,0.0,1143.6,1175.1,,,,,,,,,,,,,
2012-03-15,4,0.5671,1144.1,1175.7,663.9,690.6,91.8,0.0954,755.7,9.38,-5.61,0.0254,-9.33,-8.71,-23.19,-15.58,21.2
