date,year,n_images,mean_clear_obs_in_lake,ndvi_lake,ndvi_reference,contrast
1984-01-01,1984,14,1.3,0.35744,0.55687,0.19943
1984-01-17,1984,16,1.5,0.34453,0.58108,0.23655
1984-02-02,1984,16,1,0.56117,0.61233,0.05116
1984-02-18,1984,16,1.54,0.28642,0.61832,0.33189
1984-03-05,1984,16,1,0.44631,0.57321,0.1269
1984-03-21,1984,16,1.12,0.25986,0.58523,0.32537
1984-04-06,1984,16,3.75,0.27574,0.5786,0.30286
1984-04-22,1984,16,3.57,0.4218,0.53021,0.10841
1984-05-08,1984,16,2.93,0.22124,0.48743,0.26618
1984-05-24,1984,16,2.56,0.32214,0.43857,0.11643
1984-06-09,1984,16,1.54,0.30722,0.43284,0.12562
1984-06-25,1984,16,1.53,0.26739,0.34678,0.07939
1984-07-11,1984,16,1.15,0.31045,0.33097,0.02051
1984-07-27,1984,16,1.39,0.30711,0.30001,-0.0071
1984-08-12,1984,16,2.34,0.28267,0.27253,-0.01014
1984-08-28,1984,16,1.53,0.25292,0.18853,-0.06439
1984-09-13,1984,16,1.41,0.19109,0.1942,0.00311
1984-09-29,1984,16,1.3,0.15229,0.1867,0.03441
1984-10-15,1984,16,1.61,0.29367,0.25479,-0.03889
1984-10-31,1984,16,1.54,0.13105,0.26856,0.1375
1984-11-16,1984,16,1.68,0.16714,0.38794,0.2208
1984-12-02,1984,15,1,0.13591,0.4889,0.353
1984-12-18,1984,16,1.16,0.5907,0.45629,-0.1344
1985-01-03,1985,16,1.12,0.26763,0.56025,0.29262
1985-01-19,1985,16,1.1,0.33675,0.62078,0.28403
1985-02-04,1985,14,1.56,0.56423,0.58474,0.02051
1985-02-20,1985,16,1.44,0.30581,0.58239,0.27658
1985-03-08,1985,16,1,0.19635,0.5804,0.38405
1985-03-24,1985,15,1.55,0.34289,0.56329,0.2204
1985-04-09,1985,15,2.48,0.31141,0.55221,0.2408
1985-04-25,1985,16,4.61,0.24072,0.54164,0.30092
1985-05-11,1985,16,3.88,0.29342,0.52996,0.23654
1985-05-27,1985,16,3.33,0.29766,0.47941,0.18175
1985-06-12,1985,16,3.42,0.13781,0.41137,0.27356
1985-06-28,1985,16,1.65,0.11062,0.37706,0.26645
1985-07-14,1985,16,2.84,0.19952,0.34855,0.14903
1985-07-30,1985,16,3.65,0.15943,0.32331,0.16388
1985-08-15,1985,16,1.75,0.22125,0.27444,0.0532
1985-08-31,1985,16,1.71,0.13881,0.22576,0.08695
1985-09-16,1985,16,1.56,0.09786,0.23773,0.13987
1985-10-02,1985,16,2.63,0.14183,0.22182,0.08
1985-10-18,1985,16,1.36,0.19044,0.31586,0.12542
1985-11-03,1985,16,2.54,0.17326,0.35866,0.18539
1985-11-19,1985,16,1.43,0.17896,0.47114,0.29217
1985-12-05,1985,16,1,0.24306,0.46692,0.22386
1985-12-21,1985,16,1.08,0.24229,0.55045,0.30816
1986-01-06,1986,16,1.86,0.29812,0.60017,0.30205
1986-01-22,1986,16,1,0.29857,0.5257,0.22712
1986-02-07,1986,16,1.73,0.40722,0.60518,0.19796
1986-02-23,1986,16,1.34,0.34717,0.5572,0.21003
1986-03-11,1986,15,1.45,0.25753,0.56333,0.3058
1986-03-27,1986,16,1.41,0.46552,0.56105,0.09553
1986-04-12,1986,16,1.53,0.46504,0.58108,0.11603
1986-04-28,1986,16,2.07,0.27996,0.5539,0.27393
1986-05-14,1986,16,1.11,0.15538,0.46851,0.31313
1986-05-30,1986,16,1.6,0.35626,0.42884,0.07258
1986-06-15,1986,16,1.88,0.25706,0.40295,0.14589
1986-07-01,1986,16,1.31,0.11398,0.34702,0.23304
1986-07-17,1986,16,1.73,0.17104,0.31546,0.14443
1986-08-02,1986,16,1.89,0.17765,0.29652,0.11886
1986-08-18,1986,16,1.76,0.12885,0.24702,0.11816
1986-09-03,1986,16,1.53,0.13727,0.21006,0.07279
1986-09-19,1986,16,1.05,0.09558,0.22148,0.12589
1986-10-05,1986,16,3.38,0.05455,0.23899,0.18444
1986-10-21,1986,16,1.89,0.04703,0.26652,0.2195
1986-11-06,1986,16,2.81,0.16659,0.41338,0.24679
1986-11-22,1986,16,1.19,0.19544,0.43299,0.23755
1986-12-08,1986,16,2.11,0.34582,0.54261,0.19679
1986-12-24,1986,16,1.46,0.1853,0.53869,0.35338
1987-01-09,1987,16,1.08,0.13153,0.53466,0.40314
1987-01-25,1987,16,1.69,0.39767,0.59143,0.19376
1987-02-10,1987,16,1.67,0.1857,0.57546,0.38976
1987-02-26,1987,16,1.41,0.00516,0.60253,0.59737
1987-03-14,1987,16,1.77,0.29412,0.58447,0.29036
1987-03-30,1987,16,2.55,0.16579,0.55187,0.38608
1987-04-15,1987,16,2.48,0.01433,0.5186,0.50426
1987-05-01,1987,16,1.64,0.18507,0.42359,0.23852
1987-05-17,1987,16,1.21,0.07926,0.42061,0.34134
1987-06-02,1987,16,1.43,0.01736,0.36442,0.34706
1987-06-18,1987,16,1.23,-0.01738,0.3171,0.33448
1987-07-04,1987,16,1.19,-0.00294,0.29177,0.29472
1987-07-20,1987,16,1.23,0.07447,0.21794,0.14347
1987-08-05,1987,16,1.27,0.05572,0.20628,0.15057
1987-08-21,1987,16,1.56,0.00759,0.18135,0.17376
1987-09-06,1987,16,1.58,0.0257,0.2046,0.1789
1987-09-22,1987,16,1.62,0.0858,0.21389,0.12809
1987-10-08,1987,16,3.57,0.10698,0.29195,0.18497
1987-10-24,1987,16,3.53,-0.034,0.275,0.309
1987-11-09,1987,16,2.94,0.13778,0.27892,0.14114
1987-11-25,1987,16,1.92,-0.05654,0.2647,0.32123
1987-12-11,1987,16,2.53,-0.01152,0.51756,0.52908
1987-12-27,1987,16,1.82,0.12039,0.57868,0.45829
1988-01-12,1988,16,1.0,0.40791,0.54844,0.14053
1988-01-28,1988,16,1.53,0.1221,0.62371,0.50161
1988-02-13,1988,16,1.97,0.05764,0.59534,0.5377
1988-02-29,1988,16,1,0.16595,0.63817,0.47223
