date,year,n_images,water_km2,seen_km2,mean_clear_obs_in_lake,ndvi_lake,ndvi_reference,contrast
2018-01-14,2018,16,197.5,1150.7,1.22,0.3501,0.54952,0.19941
2018-01-30,2018,16,120.7,754.9,1,0.22298,0.60126,0.37828
2018-02-15,2018,16,269.7,2214.4,1.33,0.33511,0.6226,0.28749
2018-03-03,2018,16,224.7,2111.3,2.0,0.27084,0.59433,0.32349
2018-03-19,2018,16,280.5,2700.5,2.15,0.43297,0.61492,0.18195
2018-04-04,2018,16,260.5,2351.4,1.64,0.49073,0.63144,0.14071
2018-04-20,2018,16,316.4,2974.3,2.38,0.3506,0.59646,0.24585
2018-05-06,2018,16,412.2,2922.9,2.31,0.29672,0.54072,0.24401
2018-05-22,2018,16,414.8,2790.0,1.75,0.22381,0.47434,0.25054
2018-06-07,2018,16,295.4,1989.8,1.23,0.17465,0.40675,0.23211
2018-06-23,2018,16,483.1,2565.0,1.98,0.08151,0.36793,0.28641
2018-07-09,2018,16,217.1,1806.0,1.38,0.11643,0.32573,0.2093
2018-07-25,2018,16,535.5,2825.5,1.61,0.14904,0.29607,0.14703
2018-08-10,2018,16,400.8,2477.3,1.44,0.17316,0.22369,0.05053
2018-08-26,2018,16,269.5,2181.4,1.16,0.18476,0.21015,0.0254
2018-09-11,2018,16,139.7,2215.1,1.31,0.15942,0.15982,0.0004
2018-09-27,2018,16,114.3,1572.3,1.28,0.24184,0.21849,-0.02334
2018-10-13,2018,16,368.4,2488.2,1.13,0.1506,0.25948,0.10888
2018-10-29,2018,16,738.1,3182.2,2.27,0.12488,0.27089,0.14601
2018-11-14,2018,16,218.6,1036.0,1,0.23744,0.24657,0.00913
2018-11-30,2018,16,222.1,643.5,1.19,0.06014,0.34416,0.28402
2018-12-16,2018,16,269.6,1630.5,1,0.20825,0.50117,0.29292
