date,year,open_water_km2,open_water_lo95,open_water_hi95,flooded_veg_km2,flooded_veg_lo95,flooded_veg_hi95,total_inundation_km2,total_lo95,total_hi95,n_obs,sensors,dominant_source,era,quality,note
1984-01-01,1984,636.9,0.0,1959.3,70.0,0.0,263.3,706.9,0.0,2043.3,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-01-17,1984,643.3,0.0,1958.6,70.7,0.0,264.3,714.0,0.0,2043.5,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-02-02,1984,653.5,0.0,1956.3,71.8,0.0,265.8,725.3,0.0,2042.5,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-02-18,1984,667.5,0.0,1948.4,73.3,0.0,267.5,740.8,0.0,2036.3,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-03-05,1984,684.9,0.0,1932.0,75.2,0.0,269.2,760.1,0.0,2022.2,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-03-21,1984,705.3,0.0,1905.4,77.5,0.0,270.8,782.7,0.0,1998.4,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-04-06,1984,727.8,0.0,1868.3,80.0,0.0,272.2,807.7,0.0,1964.4,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-04-22,1984,751.6,0.0,1821.2,82.6,0.0,273.6,834.1,0.0,1920.7,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-05-08,1984,775.6,0.0,1765.0,85.2,0.0,274.9,860.8,0.0,1868.2,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-05-24,1984,798.8,0.0,1700.9,87.8,0.0,276.0,886.6,0.0,1808.1,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-06-09,1984,820.4,10.8,1630.0,90.1,0.0,277.0,910.5,79.6,1741.4,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-06-25,1984,839.3,126.3,1552.4,92.2,0.0,277.7,931.5,194.8,1668.3,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-07-11,1984,855.2,242.5,1467.8,93.9,0.0,278.1,949.1,309.4,1588.8,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-07-27,1984,867.5,359.5,1375.5,95.3,0.0,277.9,962.8,423.0,1502.6,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-08-12,1984,876.2,478.2,1274.3,96.3,0.0,277.2,972.5,535.3,1409.7,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-08-28,1984,881.6,599.3,1163.9,96.9,0.0,276.2,978.5,644.0,1312.9,0,Landsat 5,carried by the model,1984-1999,medium,no clear observation in this window; vegetated water modelled from the radar ratio
1984-09-13,1984,884.1,722.6,1045.6,97.1,0.0,275.2,981.2,740.8,1221.6,0,Landsat 5,carried by the model,1984-1999,medium,no clear observation in this window; vegetated water modelled from the radar ratio
1984-09-29,1984,884.3,831.8,936.8,97.1,0.0,274.4,981.5,796.5,1166.4,3,Landsat 5,observed,1984-1999,high,vegetated water modelled from the radar ratio
1984-10-15,1984,884.0,720.7,1047.3,97.1,0.0,275.2,981.1,739.6,1222.7,0,Landsat 5,carried by the model,1984-1999,medium,no clear observation in this window; vegetated water modelled from the radar ratio
1984-10-31,1984,883.4,590.0,1176.8,97.0,0.0,277.0,980.4,636.2,1324.6,0,Landsat 5,carried by the model,1984-1999,medium,no clear observation in this window; vegetated water modelled from the radar ratio
1984-11-16,1984,883.4,460.2,1306.5,97.0,0.0,280.1,980.4,519.4,1441.4,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-12-02,1984,885.0,337.6,1432.4,97.2,0.0,284.5,982.2,403.6,1560.7,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1984-12-18,1984,889.0,227.0,1551.1,97.7,0.0,290.1,986.7,297.2,1676.1,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1985-01-03,1985,896.5,137.0,1656.0,98.5,0.0,296.6,995.0,210.1,1779.9,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1985-01-19,1985,907.2,61.8,1752.7,99.7,0.0,303.8,1006.9,137.2,1876.6,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
1985-02-04,1985,921.8,8.4,1835.2,101.3,0.0,311.5,1023.1,85.8,1960.4,0,Landsat 5,carried by the model,1984-1999,low,no clear observation in this window; vegetated water modelled from the radar ratio
