date,era,open_water,lower,upper,source,sensors
1984-01-01,1984-1999,636.8,0,1958.3,carried by the model,NA
1984-01-17,1984-1999,643.2,0,1957.6,carried by the model,NA
1984-02-02,1984-1999,653.4,0,1955.3,carried by the model,NA
1984-02-18,1984-1999,667.3,0,1947.4,carried by the model,NA
1984-03-05,1984-1999,684.8,0,1931,carried by the model,NA
1984-03-21,1984-1999,705.1,0,1904.5,carried by the model,NA
1984-04-06,1984-1999,727.7,0,1867.4,carried by the model,NA
1984-04-22,1984-1999,751.5,0,1820.3,carried by the model,NA
1984-05-08,1984-1999,775.5,0,1764.2,carried by the model,NA
1984-05-24,1984-1999,798.8,0,1700.2,carried by the model,NA
1984-06-09,1984-1999,820.3,11.3,1629.3,carried by the model,NA
1984-06-25,1984-1999,839.3,126.8,1551.7,carried by the model,NA
1984-07-11,1984-1999,855.1,243,1467.3,carried by the model,NA
1984-07-27,1984-1999,867.5,360,1375,carried by the model,NA
1984-08-12,1984-1999,876.2,478.5,1273.9,carried by the model,NA
1984-08-28,1984-1999,881.6,599.6,1163.6,carried by the model,NA
1984-09-13,1984-1999,884.1,722.7,1045.4,carried by the model,NA
1984-09-29,1984-1999,884.3,831.8,936.8,observed,landsat
1984-10-15,1984-1999,884,720.9,1047.2,carried by the model,NA
1984-10-31,1984-1999,883.4,590.2,1176.5,carried by the model,NA
1984-11-16,1984-1999,883.4,460.6,1306.1,carried by the model,NA
1984-12-02,1984-1999,885,338.1,1431.8,carried by the model,NA
1984-12-18,1984-1999,889,227.6,1550.5,carried by the model,NA
1985-01-03,1984-1999,896.5,137.7,1655.3,carried by the model,NA
1985-01-19,1984-1999,907.2,62.6,1751.9,carried by the model,NA
1985-02-04,1984-1999,921.8,9.3,1834.4,carried by the model,NA
1985-02-20,1984-1999,940.3,0,1902,carried by the model,NA
1985-03-08,1984-1999,962.2,0,1955.2,carried by the model,NA
1985-03-24,1984-1999,987.1,0,1995.3,carried by the model,NA
1985-04-09,1984-1999,1014.2,4,2024.4,carried by the model,NA
1985-04-25,1984-1999,1042.6,39.9,2045.2,carried by the model,NA
1985-05-11,1984-1999,1071.1,82.1,2060.1,carried by the model,NA
1985-05-27,1984-1999,1098.8,126.5,2071.1,carried by the model,NA
1985-06-12,1984-1999,1124.7,170.5,2078.8,carried by the model,NA
1985-06-28,1984-1999,1147.9,212.8,2082.9,carried by the model,NA
1985-07-14,1984-1999,1167.7,253.5,2082,carried by the model,NA
1985-07-30,1984-1999,1183.8,293.2,2074.5,carried by the model,NA
1985-08-15,1984-1999,1196,332.6,2059.4,carried by the model,NA
1985-08-31,1984-1999,1204.4,371.9,2037,carried by the model,NA
1985-09-16,1984-1999,1209.5,409.5,2009.5,carried by the model,NA
1985-10-02,1984-1999,1211.9,442.5,1981.2,carried by the model,NA
1985-10-18,1984-1999,1212.4,467.2,1957.5,carried by the model,NA
1985-11-03,1984-1999,1212,479.6,1944.4,carried by the model,NA
1985-11-19,1984-1999,1211.8,477.6,1946.1,carried by the model,NA
1985-12-05,1984-1999,1212.8,462,1963.6,carried by the model,NA
1985-12-21,1984-1999,1215.9,436.9,1994.9,carried by the model,NA
1986-01-06,1984-1999,1221.7,407.5,2035.9,carried by the model,NA
1986-01-22,1984-1999,1231.1,381.7,2080.4,carried by the model,NA
1986-02-07,1984-1999,1244,363.7,2124.4,carried by the model,NA
1986-02-23,1984-1999,1260.6,356.5,2164.8,carried by the model,NA
1986-03-11,1984-1999,1280.5,361,2200.1,carried by the model,NA
1986-03-27,1984-1999,1303.1,376,2230.3,carried by the model,NA
1986-04-12,1984-1999,1327.7,399.3,2256.1,carried by the model,NA
1986-04-28,1984-1999,1353.1,427.7,2278.5,carried by the model,NA
1986-05-14,1984-1999,1378.4,458.5,2298.3,carried by the model,NA
1986-05-30,1984-1999,1402.5,490,2315,carried by the model,NA
1986-06-15,1984-1999,1424.3,522,2326.6,carried by the model,NA
1986-07-01,1984-1999,1443,555.8,2330.1,carried by the model,NA
1986-07-17,1984-1999,1457.8,593.7,2321.8,carried by the model,NA
1986-08-02,1984-1999,1468.3,638.6,2298,carried by the model,NA
1986-08-18,1984-1999,1474.4,693,2255.7,carried by the model,NA
1986-09-03,1984-1999,1476.1,758.4,2193.8,carried by the model,NA
1986-09-19,1984-1999,1474,835.3,2112.7,carried by the model,NA
1986-10-05,1984-1999,1468.6,922.2,2015,carried by the model,NA
1986-10-21,1984-1999,1461,1015.9,1906,carried by the model,NA
1986-11-06,1984-1999,1452,1109.4,1794.5,carried by the model,NA
1986-11-22,1984-1999,1442.7,1188.8,1696.7,carried by the model,NA
1986-12-08,1984-1999,1434.4,1225.7,1643,observed,landsat
1986-12-24,1984-1999,1426.9,1168.9,1684.9,carried by the model,NA
1987-01-09,1984-1999,1422,1081.8,1762.2,carried by the model,NA
1987-01-25,1984-1999,1420.6,995.3,1845.8,carried by the model,NA
1987-02-10,1984-1999,1422.7,919.7,1925.7,carried by the model,NA
1987-02-26,1984-1999,1428.5,859,1997.9,carried by the model,NA
1987-03-14,1984-1999,1437.6,813.4,2061.8,carried by the model,NA
1987-03-30,1984-1999,1449.5,780.4,2118.5,carried by the model,NA
1987-04-15,1984-1999,1463.3,756.8,2169.8,carried by the model,NA
1987-05-01,1984-1999,1478,738.6,2217.3,carried by the model,NA
1987-05-17,1984-1999,1492.4,722.8,2262.1,carried by the model,NA
1987-06-02,1984-1999,1505.5,707.7,2303.3,carried by the model,NA
1987-06-18,1984-1999,1516.1,693.3,2338.9,carried by the model,NA
1987-07-04,1984-1999,1523.3,680.7,2365.9,carried by the model,NA
1987-07-20,1984-1999,1526.4,671.6,2381.2,carried by the model,NA
1987-08-05,1984-1999,1524.9,667.4,2382.4,carried by the model,NA
1987-08-21,1984-1999,1518.7,668.7,2368.7,carried by the model,NA
1987-09-06,1984-1999,1508.1,674.7,2341.5,carried by the model,NA
1987-09-22,1984-1999,1493.5,682.6,2304.4,carried by the model,NA
1987-10-08,1984-1999,1475.8,688.4,2263.1,carried by the model,NA
1987-10-24,1984-1999,1455.9,687.2,2224.6,carried by the model,NA
1987-11-09,1984-1999,1435.1,674.7,2195.5,carried by the model,NA
1987-11-25,1984-1999,1414.6,649.1,2180.2,carried by the model,NA
1987-12-11,1984-1999,1395.7,612.2,2179.1,carried by the model,NA
1987-12-27,1984-1999,1379.2,569.2,2189.2,carried by the model,NA
1988-01-12,1984-1999,1366.2,526.6,2205.9,carried by the model,NA
1988-01-28,1984-1999,1357.4,491.8,2223,carried by the model,NA
1988-02-13,1984-1999,1353,469.5,2236.4,carried by the model,NA
1988-02-29,1984-1999,1352.9,462.5,2243.2,carried by the model,NA
1988-03-16,1984-1999,1356.7,470.7,2242.7,carried by the model,NA
1988-04-01,1984-1999,1363.7,492,2235.5,carried by the model,NA
1988-04-17,1984-1999,1373.1,522.3,2223.9,carried by the model,NA
1988-05-03,1984-1999,1383.6,556.4,2210.8,carried by the model,NA
1988-05-19,1984-1999,1394,589.3,2198.8,carried by the model,NA
1988-06-04,1984-1999,1403.2,616.9,2189.4,carried by the model,NA
1988-06-20,1984-1999,1409.8,637.4,2182.2,carried by the model,NA
1988-07-06,1984-1999,1413,651,2175.1,carried by the model,NA
1988-07-22,1984-1999,1412.1,659.4,2164.8,carried by the model,NA
1988-08-07,1984-1999,1406.6,664.9,2148.3,carried by the model,NA
1988-08-23,1984-1999,1396.5,669,2124,carried by the model,NA
