year,open_water_km2,open_water_sd_km2,flooded_veg_km2,flooded_veg_sd_km2,total_inundation_km2,total_sd_km2,flooded_veg_optical_km2,flooded_veg_source,open_water_mixture_km2,n_clear_obs,optical_sensors,radar_sensor,radar_flooded_km2,radar_date,optical_flooded_same_date_km2,window_start,window_end,model_order,basin_coverage,method,quality,note
1984,1041.7,43.9,,,,,,,,13,LT04+LT05,,,,,1984,1990,annual,0.9917,"harmonic MNDWI fit, 7-year window 1984 to 1990, annual model, 24 dates, MNDWI > +0.00",low,carried by a 13-year window because the archive is thin here; adjacent years are not independent
1985,1128.3,89.4,,,,,,,,16,LT04+LT05,,,,,1984,1991,annual+semiannual,0.9658,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,"no clear scene of its own; the level is set by the window and the drift term, and the interval is correspondingly wide"
1986,1220.0,98.7,,,,,,,,16,LT04+LT05,,,,,1984,1991,annual+semiannual,0.9658,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,carried by a 11-year window because the archive is thin here; adjacent years are not independent
1987,1305.6,90.0,,,,,,,,16,LT04+LT05,,,,,1984,1991,annual+semiannual,0.9658,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1988,1331.5,53.9,,,,,,,,19,LT04+LT05,,,,,1984,1992,annual+semiannual,0.9902,"harmonic MNDWI fit, 9-year window 1984 to 1992, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1989,1371.7,58.1,,,,,,,,17,LT04+LT05,,,,,1986,1992,annual+semiannual,0.9831,"harmonic MNDWI fit, 7-year window 1986 to 1992, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1990,1370.8,43.4,952.6,127.4,2323.4,134.6,952.6,optical mixture model,1464.2,18,LT04+LT05,,,,,1987,1993,annual+semiannual,0.9902,"harmonic MNDWI fit, 7-year window 1987 to 1993, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1991,1385.6,47.9,,,,,,,,17,LT04+LT05,,,,,1989,1993,annual+semiannual,0.9827,"harmonic MNDWI fit, 5-year window 1989 to 1993, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1992,1345.1,47.5,,,,,,,,17,LT04+LT05,,,,,1990,1994,annual+semiannual,0.9807,"harmonic MNDWI fit, 5-year window 1990 to 1994, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1993,1302.4,38.8,,,,,,,,18,LT04+LT05,,,,,1991,1995,annual+semiannual,0.9896,"harmonic MNDWI fit, 5-year window 1991 to 1995, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1994,1207.2,28.8,,,,,,,,20,LT04+LT05,,,,,1992,1996,annual+semiannual,0.9936,"harmonic MNDWI fit, 5-year window 1992 to 1996, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1995,1120.4,22.6,,,,,,,,22,LT04+LT05,,,,,1993,1997,annual+semiannual,0.9991,"harmonic MNDWI fit, 5-year window 1993 to 1997, annual+semiannual model, 24 dates, MNDWI > +0.00",medium,
1996,1099.8,15.1,,,,,,,,28,LT05+LE07,,,,,1994,1998,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1994 to 1998, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
1997,1089.5,12.6,,,,,,,,29,LT05+LE07,,,,,1995,1999,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1995 to 1999, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
1998,1096.7,10.1,,,,,,,,29,LT05+LE07,,,,,1996,2000,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1996 to 2000, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
1999,1117.5,10.5,,,,,,,,32,LT05+LE07,,,,,1997,2001,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1997 to 2001, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2000,1151.3,11.8,,,,,,,,37,LT05+LE07,,,,,1998,2002,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1998 to 2002, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2001,1170.2,10.9,,,,,,,,34,LT05+LE07,,,,,1999,2003,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 1999 to 2003, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2002,1192.8,11.5,,,,,,,,36,LT05+LE07,,,,,2000,2004,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 2000 to 2004, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2003,1202.9,9.8,,,,,,,,45,LT05+LE07,,,,,2001,2005,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 2001 to 2005, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2004,1199.9,8.5,,,,,,,,50,LT05+LE07,,,,,2002,2006,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 2002 to 2006, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
2005,1190.9,9.0,,,,,,,,55,LT05+LE07,,,,,2003,2007,annual+semiannual,1.0,"harmonic MNDWI fit, 5-year window 2003 to 2007, annual+semiannual model, 24 dates, MNDWI > +0.00",high,
