"year","pr_chirps","pr_terraclim","pr_era5","pr_ensemble","pet_terraclim","p_minus_pet","tmax_terraclim","tmin_terraclim","tmean_ensemble","pdsi_terraclim","spei12_oct","n_months"
1984,1245.481185351,1357.20774205469,1081.91138167514,1228.20010302695,1296.22415650407,-68.0240534771201,27.6180898158414,16.6581601071693,22.0567438941611,-0.28097095959596,-0.150597561261661,1
1985,1378.51938904787,1529.82115668884,1217.09048397555,1375.14367657075,1280.94727549889,94.1964010718617,27.2742978566149,16.2649800597438,21.6149810288201,3.14138656380882,1.3390029157911,1
1986,1255.2507048323,1346.55176459719,1148.66827920644,1250.15691621198,1290.66728935698,-40.5103731450046,27.4386523004435,16.2995968064794,21.6466216308229,3.30745109632915,1.17114552603197,1
1987,901.856355470998,876.329684035477,797.600925339158,858.595654948545,1420.95937176645,-562.363716817901,28.6578196600148,16.7473759700665,22.5799437160923,-2.68634792282582,-1.14796779151001,1
1988,1154.2979204433,1169.97644124169,952.334017000034,1092.20279289501,1327.73108000739,-235.528287112385,27.8290193859325,16.7665947585612,22.2145927478938,-2.08860697678,0.0586109844346841,1
1989,1377.53382522764,1599.30181079084,1328.90617634287,1435.24727078712,1298.82159275684,136.425678030278,27.4191870688593,16.5282107661986,21.8390679996718,0.951884007760533,1.23563523598449,1
1990,942.405547755014,976.340059127864,772.75651883737,897.167375240083,1395.90162878788,-498.734253547797,28.1855537078098,16.573387841833,22.3290911915944,-0.85131962921902,-0.579507648432381,1
1991,1238.85534716811,1247.21903178123,1046.80324849281,1177.62587581405,1336.67088876571,-159.045012951657,27.8478894124169,16.4679791820646,22.0739065230662,-2.31424297856615,-0.74817011418639,1
1992,747.953252379952,596.69645232816,631.174434425532,658.608046377881,1432.27912324464,-773.671076866761,28.6771102796255,16.8621409214092,22.867769608225,-6.42337499230106,-2.18771835830477,1
1993,1167.61366659392,1189.6335458241,953.539188928537,1103.59546711552,1313.73671470806,-210.141247592541,27.9217434251047,17.0372550197093,22.3633744169085,-2.99911936437546,-0.304037380529932,1
1994,798.039982826462,803.462398373984,780.24341524917,793.915265483205,1367.20080284553,-573.285537362324,27.8820399882976,16.8987297517862,22.2713796516073,-4.0636884469697,-1.59183037738321,1
1995,1021.58829185705,1063.56898558758,854.783601178913,979.980292874517,1369.9669687731,-389.98667589858,28.3407258561222,17.3079518508253,22.7403048492717,-5.59072699556541,-1.73675475234077,1
1996,1275.48540802868,1178.44867886179,1085.57297056315,1179.83568581787,1331.48740946046,-151.651723642586,27.9733289449372,16.867630189086,22.3271599837921,-2.73591675135501,0.426825175879809,1
1997,1519.71722718959,1378.13429416112,1435.18665214471,1444.34605783181,1264.05221452328,180.293843308526,27.8806174550382,16.8195682434097,22.1362992216575,0.0522319767799952,0.656436550948355,1
1998,1084.0524165643,1017.61805247598,760.070316780618,953.913595273634,1379.27127217295,-425.357676899316,28.5211234294161,17.109473161493,22.7244189640647,-2.03304247505543,-0.508674017572529,1
1999,1354.15971061603,1293.09669253511,1001.04122789406,1216.0992103484,1314.3759876201,-98.276777271705,27.8218094050259,16.805275930032,22.0817890300759,-0.78707516475733,0.904289408729821,1
2000,1233.7511029578,1251.80989467849,1301.2157562489,1262.25891796173,1237.65469974132,24.6042182204145,27.6631127586844,16.7311271249076,22.0158889375347,-2.16125040034491,-0.654082289369649,1
2001,1353.4569000239,1269.86470805617,1004.88516261723,1209.4022568991,1324.39052937916,-114.988272480055,28.1086861757822,16.9877403609263,22.3911853648714,0.996195322123676,1.52895018978724,1
2002,1141.40911221518,968.875157058389,806.829751337612,972.371340203727,1335.22279563932,-362.851455435594,28.4865669653856,16.905662339862,22.4697654781787,-2.14554703282828,-0.833750189848678,1
2003,1098.62266342644,1388.25058203991,1262.48971165644,1249.78765237426,1329.79201773836,-80.0043653640951,28.4079298318551,17.0933493471298,22.3868556386583,-0.218243902439024,-0.79868079138496,1
2004,1157.5308255702,1408.13583702883,1115.2103815121,1226.95901470371,1302.60439116778,-75.6453764640648,28.0118090200788,16.9775013858093,22.2022792928691,1.46040722776546,-0.107660788310958,1
2005,871.432720266715,771.570981152993,719.337058172033,787.446919863914,1422.35552014043,-634.908600276515,29.0027844758561,17.5814804292929,23.0824584518434,-3.07456705007391,-1.88776491416825,1
2006,1445.78043455375,844.983813747229,987.684625213616,1092.81629117153,1343.6851395048,-250.868848333272,28.0405789603351,17.3938609417344,22.5002691264598,-5.7540101395048,-2.15492697635656,1
2007,1280.39952388397,1155.20879526977,1226.1860848499,1220.59813466788,1335.7218357354,-115.123701067525,28.6915669653856,16.8295750184775,22.4856752265722,-3.44115064517122,-0.0787284861407465,1
2008,867.187216213672,1170.04375461936,984.890113317224,1007.37369471675,1381.63418237251,-374.260487655753,28.4555686437546,16.5289768107908,22.2474051262889,-3.15996998952944,-0.187375773826033,1
2009,1108.39224269078,1134.63556910569,937.396935260214,1060.14158235223,1340.20404009608,-280.062457743857,28.4446328375216,16.8188363051244,22.3760481837259,-1.78849508037694,-0.2858244402817,1
2010,1111.36124979227,876.457852919439,1061.93641842283,1016.58517371151,1362.67128510717,-346.086111395658,28.8236665434836,17.3819212706332,22.8440209033435,-2.63622503233555,-1.19865553735425,1
2011,931.898335058982,1350.47639504804,812.627906363684,1031.66754549024,1355.08859848485,-323.421052994613,28.2181556417837,16.9252008653609,22.5843369044376,0.0936548718896277,0.146912549558298,1
2012,1258.43500323577,1358.16884700665,908.568654863435,1175.05750170195,1367.52423041389,-192.466728711943,28.1106437854151,16.4942704483863,22.3860427241764,-0.918156149913772,0.0706876846669099,1
2013,1085.34314866135,1227.59478011826,1048.85194005171,1120.59662294377,1380.15845066519,-259.561827721419,28.1744380543237,16.7043351194876,22.3226338419274,-1.7018078575388,-0.230261837255466,1
2014,1095.25917805578,964.749353288988,992.911797958937,1017.6401097679,1370.07078067258,-352.430670904679,28.2768174889135,16.8571063531658,22.4579251190541,-2.73339735002464,-0.831128299867035,1
2015,1044.03512212801,1372.47639504804,1237.55967489809,1218.02373069138,1401.51158259424,-183.487851902853,28.9211433696723,17.036702158783,22.7920145265238,-2.16437175104706,-0.860919171540195,1
2016,981.900521278602,908.362971175167,878.33557786502,922.86635677293,1387.44244364376,-464.576086870826,28.2691270941119,17.1806527161863,22.7764501532303,-5.3044302783937,-1.39208611199465,1
