date,t_years,cos1,sin1,cos2,sin2
2011-11-05,-0.1560606994,0.5565587987,-0.8308082231,-0.3804846072,-0.9247872532
2011-11-13,-0.1341574433,0.6652736226,-0.7465996297,-0.1148220141,-0.9933860806
2011-11-16,-0.1259437223,0.7029015271,-0.7112871735,-0.0118588865,-0.9999296809
2011-12-05,-0.0739234892,0.8940568728,-0.4479534665,0.5986753838,-0.8009917508
2011-12-16,-0.0438065121,0.9623587938,-0.2717821776,0.8522688959,-0.5231039372
2011-12-24,-0.0219032561,0.9905449999,-0.1371882033,0.9623587938,-0.2717821776
2012-01-04,0.0082137210,0.9986685856,0.0515854252,0.9946778878,0.1030334872
2012-01-12,0.0301169771,0.9821492623,0.1881032339,0.9292343468,0.3694909048
2012-01-15,0.0383306981,0.9711382293,0.2385173778,0.8862189210,0.4632666879
2012-02-03,0.0903509312,0.8431443941,0.5376872052,0.4217849386,0.9066959058
2012-02-11,0.1122541873,0.7614081222,0.6482728372,0.1594846571,0.9872004073
2012-02-14,0.1204679083,0.7269529425,0.6866872791,0.0569211614,0.9983786763
2012-02-22,0.1423711644,0.6258742084,0.7799240189,-0.2165629505,0.9762686559
2012-03-04,0.1724881414,0.4679956619,0.8837307624,-0.5619601208,0.8271643262
2012-03-12,0.1943913975,0.3423333274,0.9395785720,-0.7656157858,0.6432981179
2012-03-15,0.2026051185,0.2934089798,0.9559870138,-0.8278223411,0.5609903489
2012-02-22,0.1423711644,0.6258742084,0.7799240189,-0.2165629505,0.9762686559
