year,window_start,window_end,half_window,model_order,n_free_parameters,obs_floor,sensors,n_scenes_window,n_scenes_in_year,median_obs_per_pixel,basin_fitted_km2,basin_coverage,open_water_mean_km2,open_water_sd_km2,open_water_max_km2,open_water_min_km2,peak_month,threshold,fit_residual_mndwi,threshold_band_mndwi,method
1984,1984,1990,6,annual,4,8,LT04+LT05,73,6,13.0,8679.9,0.9917,1041.7,43.9,1093.2,978.5,3,0.0,0.0596,0.0596,"harmonic MNDWI fit, 7-year window 1984 to 1990, annual model, 24 dates, MNDWI > +0.00"
1985,1984,1991,6,annual+semiannual,6,12,LT04+LT05,91,1,16,8453.2,0.9658,1128.3,89.4,1227.5,1024.3,2,0.0,0.0537,0.0537,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00"
1986,1984,1991,5,annual+semiannual,6,12,LT04+LT05,91,14,16,8453.2,0.9658,1220.0,98.7,1293.7,1154.7,2,0.0,0.0537,0.0537,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00"
1987,1984,1991,4,annual+semiannual,6,12,LT04+LT05,91,8,16,8453.2,0.9658,1305.6,90.0,1375.5,1271.2,2,0.0,0.0537,0.0537,"harmonic MNDWI fit, 8-year window 1984 to 1991, annual+semiannual model, 24 dates, MNDWI > +0.00"
1988,1984,1992,4,annual+semiannual,6,12,LT04+LT05,101,8,19,8666.9,0.9902,1331.5,53.9,1360.8,1246.8,6,0.0,0.0596,0.0596,"harmonic MNDWI fit, 9-year window 1984 to 1992, annual+semiannual model, 24 dates, MNDWI > +0.00"
1989,1986,1992,3,annual+semiannual,6,12,LT04+LT05,94,14,17.0,8604.7,0.9831,1371.7,58.1,1399.5,1345.9,7,0.0,0.0576,0.0576,"harmonic MNDWI fit, 7-year window 1986 to 1992, annual+semiannual model, 24 dates, MNDWI > +0.00"
1990,1987,1993,3,annual+semiannual,6,12,LT04+LT05,96,22,18.0,8666.7,0.9902,1370.8,43.4,1421.4,1302.1,8,0.0,0.0556,0.0556,"harmonic MNDWI fit, 7-year window 1987 to 1993, annual+semiannual model, 24 dates, MNDWI > +0.00"
1991,1989,1993,2,annual+semiannual,6,12,LT04+LT05,80,18,17.0,8600.6,0.9827,1385.6,47.9,1422.4,1334.0,1,0.0,0.0498,0.0498,"harmonic MNDWI fit, 5-year window 1989 to 1993, annual+semiannual model, 24 dates, MNDWI > +0.00"
1992,1990,1994,2,annual+semiannual,6,12,LT04+LT05,94,10,17.0,8583.6,0.9807,1345.1,47.5,1399.4,1302.7,1,0.0,0.0498,0.0498,"harmonic MNDWI fit, 5-year window 1990 to 1994, annual+semiannual model, 24 dates, MNDWI > +0.00"
1993,1991,1995,2,annual+semiannual,6,12,LT04+LT05,101,16,18.0,8661.0,0.9896,1302.4,38.8,1371.0,1207.9,3,0.0,0.0517,0.0517,"harmonic MNDWI fit, 5-year window 1991 to 1995, annual+semiannual model, 24 dates, MNDWI > +0.00"
1994,1992,1996,2,annual+semiannual,6,12,LT04+LT05,99,28,20.0,8696.2,0.9936,1207.2,28.8,1246.3,1123.8,6,0.0,0.0517,0.0517,"harmonic MNDWI fit, 5-year window 1992 to 1996, annual+semiannual model, 24 dates, MNDWI > +0.00"
1995,1993,1997,2,annual+semiannual,6,12,LT04+LT05,107,29,22.0,8744.3,0.9991,1120.4,22.6,1214.3,1018.1,7,0.0,0.0478,0.0478,"harmonic MNDWI fit, 5-year window 1993 to 1997, annual+semiannual model, 24 dates, MNDWI > +0.00"
1996,1995,1997,1,annual+semiannual,6,12,LT05,63,16,15.0,8354.4,0.9545,1024.1,62.9,1114.1,886.3,3,0.0,0.04,0.04,"harmonic MNDWI fit, 3-year window 1995 to 1997, annual+semiannual model, 24 dates, MNDWI > +0.00"
1997,1996,1998,1,annual+semiannual,6,12,LT05+LE07,71,18,18,8717.4,0.996,1076.3,13.3,1092.8,1026.2,4,0.0,0.0439,0.0439,"harmonic MNDWI fit, 3-year window 1996 to 1998, annual+semiannual model, 24 dates, MNDWI > +0.00"
1998,1997,1999,1,annual+semiannual,6,12,LT05+LE07,84,37,19,8727.3,0.9971,1098.2,12.5,1122.2,1046.2,9,0.0,0.0478,0.0478,"harmonic MNDWI fit, 3-year window 1997 to 1999, annual+semiannual model, 24 dates, MNDWI > +0.00"
1999,1998,2000,1,annual+semiannual,6,12,LT05+LE07,105,29,20.0,8725.1,0.9969,1110.6,11.9,1124.7,1078.0,8,0.0,0.0517,0.0517,"harmonic MNDWI fit, 3-year window 1998 to 2000, annual+semiannual model, 24 dates, MNDWI > +0.00"
2000,1999,2001,1,annual+semiannual,6,12,LT05+LE07,109,39,19.0,8606.7,0.9834,1146.5,32.1,1196.7,1089.0,4,0.0,0.0478,0.0478,"harmonic MNDWI fit, 3-year window 1999 to 2001, annual+semiannual model, 24 dates, MNDWI > +0.00"
