sensor,collection,year,n_cloud_lt_30,n_cloud_lt_60,n_cloud_lt_101
L4_TM,LANDSAT/LT04/C02/T1_L2,1988,4,8,8
L4_TM,LANDSAT/LT04/C02/T1_L2,1989,0,2,2
L4_TM,LANDSAT/LT04/C02/T1_L2,1992,3,5,7
L5_TM,LANDSAT/LT05/C02/T1_L2,1984,2,4,6
L5_TM,LANDSAT/LT05/C02/T1_L2,1985,0,0,1
L5_TM,LANDSAT/LT05/C02/T1_L2,1986,5,11,14
L5_TM,LANDSAT/LT05/C02/T1_L2,1987,2,5,8
L5_TM,LANDSAT/LT05/C02/T1_L2,1989,8,11,12
L5_TM,LANDSAT/LT05/C02/T1_L2,1990,13,19,22
L5_TM,LANDSAT/LT05/C02/T1_L2,1991,10,17,18
L5_TM,LANDSAT/LT05/C02/T1_L2,1992,3,3,3
L5_TM,LANDSAT/LT05/C02/T1_L2,1993,10,13,16
L5_TM,LANDSAT/LT05/C02/T1_L2,1994,14,20,28
L5_TM,LANDSAT/LT05/C02/T1_L2,1995,13,24,29
L5_TM,LANDSAT/LT05/C02/T1_L2,1996,14,16,16
L5_TM,LANDSAT/LT05/C02/T1_L2,1997,13,15,18
L5_TM,LANDSAT/LT05/C02/T1_L2,1998,25,31,37
L5_TM,LANDSAT/LT05/C02/T1_L2,1999,6,13,19
L5_TM,LANDSAT/LT05/C02/T1_L2,2000,5,11,16
L5_TM,LANDSAT/LT05/C02/T1_L2,2001,3,5,8
L5_TM,LANDSAT/LT05/C02/T1_L2,2003,4,7,7
L5_TM,LANDSAT/LT05/C02/T1_L2,2004,5,11,16
L5_TM,LANDSAT/LT05/C02/T1_L2,2005,15,22,24
L5_TM,LANDSAT/LT05/C02/T1_L2,2006,15,20,28
L5_TM,LANDSAT/LT05/C02/T1_L2,2007,18,24,28
L5_TM,LANDSAT/LT05/C02/T1_L2,2008,20,27,29
L5_TM,LANDSAT/LT05/C02/T1_L2,2009,8,12,14
L5_TM,LANDSAT/LT05/C02/T1_L2,2010,5,11,13
L5_TM,LANDSAT/LT05/C02/T1_L2,2011,4,7,10
L7_ETM,LANDSAT/LE07/C02/T1_L2,1999,8,10,10
L7_ETM,LANDSAT/LE07/C02/T1_L2,2000,8,19,23
L7_ETM,LANDSAT/LE07/C02/T1_L2,2001,22,27,33
L7_ETM,LANDSAT/LE07/C02/T1_L2,2002,25,35,45
L7_ETM,LANDSAT/LE07/C02/T1_L2,2003,17,26,33
L7_ETM,LANDSAT/LE07/C02/T1_L2,2004,16,25,27
L7_ETM,LANDSAT/LE07/C02/T1_L2,2005,29,38,38
L7_ETM,LANDSAT/LE07/C02/T1_L2,2006,23,27,28
L7_ETM,LANDSAT/LE07/C02/T1_L2,2007,22,32,37
L7_ETM,LANDSAT/LE07/C02/T1_L2,2008,26,36,36
L7_ETM,LANDSAT/LE07/C02/T1_L2,2009,20,26,26
L7_ETM,LANDSAT/LE07/C02/T1_L2,2010,16,22,23
L7_ETM,LANDSAT/LE07/C02/T1_L2,2011,21,26,30
L7_ETM,LANDSAT/LE07/C02/T1_L2,2012,26,35,41
L7_ETM,LANDSAT/LE07/C02/T1_L2,2013,29,42,53
L7_ETM,LANDSAT/LE07/C02/T1_L2,2014,24,39,55
L7_ETM,LANDSAT/LE07/C02/T1_L2,2015,35,44,55
L7_ETM,LANDSAT/LE07/C02/T1_L2,2016,37,52,60
L7_ETM,LANDSAT/LE07/C02/T1_L2,2017,28,47,52
L7_ETM,LANDSAT/LE07/C02/T1_L2,2018,26,41,52
L7_ETM,LANDSAT/LE07/C02/T1_L2,2019,31,44,55
L7_ETM,LANDSAT/LE07/C02/T1_L2,2020,32,46,59
L7_ETM,LANDSAT/LE07/C02/T1_L2,2021,32,46,52
L7_ETM,LANDSAT/LE07/C02/T1_L2,2022,36,46,53
L7_ETM,LANDSAT/LE07/C02/T1_L2,2023,38,54,65
L7_ETM,LANDSAT/LE07/C02/T1_L2,2024,0,0,2
L8_OLI,LANDSAT/LC08/C02/T1_L2,2013,26,36,47
L8_OLI,LANDSAT/LC08/C02/T1_L2,2014,35,50,61
L8_OLI,LANDSAT/LC08/C02/T1_L2,2015,38,56,63
L8_OLI,LANDSAT/LC08/C02/T1_L2,2016,29,52,59
L8_OLI,LANDSAT/LC08/C02/T1_L2,2017,34,47,55
L8_OLI,LANDSAT/LC08/C02/T1_L2,2018,39,51,61
L8_OLI,LANDSAT/LC08/C02/T1_L2,2019,42,53,63
L8_OLI,LANDSAT/LC08/C02/T1_L2,2020,43,54,62
L8_OLI,LANDSAT/LC08/C02/T1_L2,2021,37,53,61
L8_OLI,LANDSAT/LC08/C02/T1_L2,2022,33,50,63
L8_OLI,LANDSAT/LC08/C02/T1_L2,2023,41,54,66
L8_OLI,LANDSAT/LC08/C02/T1_L2,2024,39,55,63
L8_OLI,LANDSAT/LC08/C02/T1_L2,2025,30,50,57
L9_OLI,LANDSAT/LC09/C02/T1_L2,2021,10,11,11
L9_OLI,LANDSAT/LC09/C02/T1_L2,2022,31,44,59
L9_OLI,LANDSAT/LC09/C02/T1_L2,2023,37,48,63
L9_OLI,LANDSAT/LC09/C02/T1_L2,2024,34,53,61
L9_OLI,LANDSAT/LC09/C02/T1_L2,2025,31,47,59
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2015,6,6,6
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2016,77,77,77
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2017,109,109,111
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2018,70,78,93
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2019,304,405,571
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2020,271,409,589
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2021,309,416,579
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2022,279,396,588
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2023,283,394,582
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2024,271,424,588
S2_SR,COPERNICUS/S2_SR_HARMONIZED,2025,355,527,812
