date,year,sensor_family,n_scenes,water_km2,clear_km2,clear_fraction,basin_water_km2,basin_clear_fraction,scale_m
1984-05-24,1984,landsat,1,0.3,144.5,0.0364,0.6,0.0376,90
1984-09-29,1984,landsat,3,853.3,3830.4,0.9653,864.0,0.999,90
1984-11-16,1984,landsat,2,110.6,583.3,0.147,111.0,0.1187,90
1985-03-08,1985,landsat,1,0.0,0.0,0.0,0.0,0.0,90
1986-04-28,1986,landsat,3,330.3,1091.4,0.275,337.6,0.2231,90
1986-05-14,1986,landsat,3,449.7,1179.8,0.2973,461.1,0.3398,90
1986-05-30,1986,landsat,1,0.0,0.0,0.0,0.2,0.0112,90
1986-11-06,1986,landsat,2,833.5,2509.9,0.6325,833.6,0.6463,90
1986-11-22,1986,landsat,2,65.6,177.7,0.0448,65.7,0.0993,90
1986-12-08,1986,landsat,2,1186.0,3267.5,0.8235,1205.7,0.7556,90
1986-12-24,1986,landsat,1,0.0,0.0,0.0,0.0,0.0,90
1987-01-09,1987,landsat,3,698.4,1002.3,0.2526,915.1,0.1717,90
1987-01-25,1987,landsat,1,0.0,5.7,0.0014,1.4,0.0441,90
1987-02-10,1987,landsat,2,307.9,991.0,0.2497,317.6,0.496,90
1987-02-26,1987,landsat,1,0.0,0.0,0.0,0.0,0.0001,90
1987-03-14,1987,landsat,1,0.0,0.0,0.0,0.0,0.011,90
1988-02-13,1988,landsat,1,27.5,258.1,0.065,27.9,0.1943,90
1988-02-29,1988,landsat,3,106.0,578.2,0.1457,121.8,0.2524,90
1988-03-16,1988,landsat,1,0.0,0.0,0.0,0.0,0.0043,90
1988-11-11,1988,landsat,1,0.0,0.0,0.0,0.0,0.0124,90
1988-12-13,1988,landsat,2,803.8,1495.1,0.3768,803.8,0.2241,90
1989-03-19,1989,landsat,2,143.5,492.2,0.124,162.7,0.2126,90
1989-05-06,1989,landsat,1,0.0,0.0,0.0,0.0,0.0123,90
1989-05-22,1989,landsat,1,0.0,0.0,0.0,0.0,0.0064,90
1989-06-07,1989,landsat,3,781.4,2088.6,0.5264,786.8,0.5477,90
1989-06-23,1989,landsat,2,1255.8,3800.2,0.9577,1270.6,0.9953,90
1989-07-09,1989,landsat,1,0.0,0.0,0.0,0.0,0.0021,90
1989-07-25,1989,landsat,1,0.0,0.0,0.0,0.1,0.0092,90
1989-08-10,1989,landsat,1,1017.2,3007.5,0.7579,1032.5,0.8334,90
1989-09-11,1989,landsat,2,1030.7,3003.3,0.7569,1034.6,0.7493,90
1990-02-18,1990,landsat,2,305.8,597.8,0.1507,308.8,0.1528,90
1990-03-06,1990,landsat,2,770.6,1678.3,0.4229,771.1,0.3392,90
1990-04-07,1990,landsat,1,1007.7,2425.6,0.6113,1017.1,0.5856,90
1990-06-10,1990,landsat,2,1315.8,3806.0,0.9592,1331.0,0.9634,90
1990-07-12,1990,landsat,1,0.0,0.0,0.0,0.3,0.0119,90
1990-07-28,1990,landsat,3,695.5,1941.9,0.4894,722.8,0.4291,90
1990-08-13,1990,landsat,2,921.9,2380.5,0.5999,958.2,0.561,90
1990-08-29,1990,landsat,3,1046.4,2157.9,0.5438,1049.3,0.3863,90
1990-09-14,1990,landsat,3,192.4,700.5,0.1765,197.7,0.2204,90
1990-09-30,1990,landsat,1,0.0,0.0,0.0,0.0,0.0084,90
1990-10-16,1990,landsat,2,1351.5,3836.6,0.9669,1364.1,0.9975,90
1991-01-20,1991,landsat,1,0.0,0.0,0.0,0.0,0.0035,90
1991-02-05,1991,landsat,1,0.0,0.0,0.0,0.0,0.0043,90
1991-02-21,1991,landsat,1,229.0,787.2,0.1984,229.2,0.1226,90
1991-05-12,1991,landsat,2,339.8,717.0,0.1807,341.1,0.2328,90
1991-05-28,1991,landsat,2,584.4,1643.7,0.4142,596.7,0.3302,90
1991-06-13,1991,landsat,2,970.9,2884.2,0.7269,986.5,0.8203,90
1991-06-29,1991,landsat,1,0.0,0.0,0.0,0.2,0.0204,90
1991-07-15,1991,landsat,3,1294.6,3397.5,0.8562,1316.5,0.8384,90
1991-08-16,1991,landsat,2,1261.6,3142.8,0.792,1285.8,0.8791,90
1991-09-01,1991,landsat,1,0.0,0.0,0.0,3.7,0.0069,90
1991-10-03,1991,landsat,1,0.0,0.0,0.0,0.0,0.0156,90
1991-10-19,1991,landsat,1,0.0,0.0,0.0,0.0,0.0198,90
1992-01-23,1992,landsat,2,691.2,1679.4,0.4232,712.5,0.4675,90
1992-02-08,1992,landsat,1,1093.0,3053.2,0.7695,1107.8,0.8725,90
1992-02-24,1992,landsat,1,1018.8,2735.2,0.6893,1025.8,0.7544,90
1992-03-11,1992,landsat,2,894.1,1815.5,0.4575,915.3,0.3231,90
1992-03-27,1992,landsat,1,0.0,0.0,0.0,0.0,0.0,90
1992-05-30,1992,landsat,1,0.0,0.0,0.0,0.2,0.0199,90
