date,year,sensor_family,n_scenes,water_km2,clear_km2,clear_fraction,scale_m
1984-05-24,1984,landsat,1,0.6,329.0,0.0376,90
1984-09-29,1984,landsat,3,864.0,8743.7,0.999,90
1984-11-16,1984,landsat,2,111.0,1039.2,0.1187,90
1985-03-08,1985,landsat,1,0.0,0.1,0.0,90
1986-04-28,1986,landsat,3,337.6,1952.2,0.2231,90
1986-05-14,1986,landsat,3,461.1,2973.6,0.3398,90
1986-05-30,1986,landsat,1,0.2,97.7,0.0112,90
1986-11-06,1986,landsat,2,833.6,5656.7,0.6463,90
1986-11-22,1986,landsat,2,65.7,869.1,0.0993,90
1986-12-08,1986,landsat,2,1205.7,6613.4,0.7556,90
1986-12-24,1986,landsat,1,0.0,0.0,0.0,90
1987-01-09,1987,landsat,3,915.1,1502.5,0.1717,90
1987-01-25,1987,landsat,1,1.4,385.8,0.0441,90
1987-02-10,1987,landsat,2,317.6,4341.0,0.496,90
1987-02-26,1987,landsat,1,0.0,0.5,0.0001,90
1987-03-14,1987,landsat,1,0.0,96.6,0.011,90
1988-02-13,1988,landsat,1,27.9,1700.2,0.1943,90
1988-02-29,1988,landsat,3,121.8,2209.2,0.2524,90
1988-03-16,1988,landsat,1,0.0,37.8,0.0043,90
1988-11-11,1988,landsat,1,0.0,108.5,0.0124,90
1988-12-13,1988,landsat,2,803.8,1961.2,0.2241,90
1989-03-19,1989,landsat,2,162.7,1861.1,0.2126,90
1989-05-06,1989,landsat,1,0.0,107.7,0.0123,90
1989-05-22,1989,landsat,1,0.0,55.9,0.0064,90
1989-06-07,1989,landsat,3,786.8,4793.2,0.5477,90
1989-06-23,1989,landsat,2,1270.6,8710.4,0.9953,90
1989-07-09,1989,landsat,1,0.0,18.2,0.0021,90
1989-07-25,1989,landsat,1,0.1,80.7,0.0092,90
1989-08-10,1989,landsat,1,1032.5,7294.1,0.8334,90
1989-09-11,1989,landsat,2,1034.6,6558.2,0.7493,90
1990-02-18,1990,landsat,2,308.8,1337.6,0.1528,90
1990-03-06,1990,landsat,2,771.1,2968.6,0.3392,90
1990-04-07,1990,landsat,1,1017.1,5125.0,0.5856,90
1990-06-10,1990,landsat,2,1331.0,8431.5,0.9634,90
1990-07-12,1990,landsat,1,0.3,104.4,0.0119,90
1990-07-28,1990,landsat,3,722.8,3755.4,0.4291,90
1990-08-13,1990,landsat,2,958.2,4910.0,0.561,90
1990-08-29,1990,landsat,3,1049.3,3380.8,0.3863,90
1990-09-14,1990,landsat,3,197.7,1928.6,0.2204,90
1990-09-30,1990,landsat,1,0.0,73.8,0.0084,90
1990-10-16,1990,landsat,2,1364.1,8730.1,0.9975,90
1991-01-20,1991,landsat,1,0.0,30.3,0.0035,90
1991-02-05,1991,landsat,1,0.0,38.0,0.0043,90
