year,sensor,mosaic_date,n_landsat_in_composite,valid_km2,optical_open_water_km2,optical_flooded_same_date_km2,flooded_veg_belt_km2,flooded_veg_basin_km2,nonwater_belt_km2,flooded_share_of_belt,dry_land_false_positive,t_hh_minus_hv_dB,t_hh_dB,hh_water_median_dB,hh_dry_median_dB,hv_dry_median_dB,method
2007,ALOS PALSAR yearly mosaic,2007-07-17,18,8752.4,1161.0,477.6,244.8,271.3,1736.7,0.141,0.0045,10.19,-7.63,-19.37,-11.87,-19.37,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2007-07-17"
2008,ALOS PALSAR yearly mosaic,2008-06-03,7,8752.4,1165.8,957.5,318.3,340.5,1726.2,0.1844,0.0038,10.19,-7.88,-19.31,-12.12,-19.63,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2008-06-03"
2009,ALOS PALSAR yearly mosaic,2009-07-22,9,8752.4,1169.9,915.2,229.8,252.6,1724.5,0.1333,0.0039,10.69,-7.88,-20.06,-12.63,-20.38,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2009-07-22"
2010,ALOS PALSAR yearly mosaic,2010-07-25,6,8752.4,1138.0,509.0,359.4,378.2,1677.2,0.2143,0.0035,10.31,-7.63,-19.37,-12.12,-19.62,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2010-07-25"
2015,ALOS PALSAR yearly mosaic,2015-10-19,33,8752.4,1190.8,318.0,41.6,59.4,1711.3,0.0243,0.003,12.31,-7.38,-19.06,-12.63,-21.13,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2015-10-19"
2016,ALOS PALSAR yearly mosaic,2016-06-27,25,8752.4,1072.6,495.0,17.1,37.6,1817.8,0.0094,0.0035,11.44,-7.94,-20.31,-13.06,-21.13,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2016-06-27"
2017,ALOS PALSAR yearly mosaic,2017-10-30,28,8752.4,735.9,442.2,6.0,80.7,2154.8,0.0028,0.0127,12.94,-6.06,-25.32,-10.69,-19.88,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2017-10-30"
2018,ALOS PALSAR yearly mosaic,2018-10-14,31,8752.4,287.8,205.1,13.1,46.5,2603.1,0.005,0.0057,11.69,-6.38,-28.31,-10.88,-18.62,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2018-10-14"
2019,ALOS PALSAR yearly mosaic,2019-06-24,31,8752.4,1032.0,1057.7,150.2,182.9,1859.7,0.0808,0.0056,11.06,-7.63,-20.44,-12.37,-19.88,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2019-06-24"
2020,ALOS PALSAR yearly mosaic,2020-06-22,31,8752.4,1011.0,649.3,105.8,132.5,1883.6,0.0562,0.0046,11.94,-7.63,-19.19,-12.63,-20.63,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2020-06-22"
2021,ALOS PALSAR yearly mosaic,2021-10-11,36,8752.4,956.9,241.3,6.1,28.7,1935.2,0.0031,0.0039,12.81,-7.88,-19.56,-13.12,-21.88,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2021-10-11"
2022,ALOS PALSAR yearly mosaic,2022-10-10,52,8752.4,1038.2,409.5,91.8,116.6,1860.0,0.0494,0.0042,11.94,-7.63,-19.56,-13.12,-21.63,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2022-10-10"
2023,ALOS PALSAR yearly mosaic,2023-10-22,46,8752.4,1913.5,227.0,3.3,28.1,1007.7,0.0032,0.0043,11.69,-7.88,-20.44,-13.13,-21.88,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2023-10-22"
2024,ALOS PALSAR yearly mosaic,2024-10-21,30,8752.4,1837.9,176.3,2.0,27.3,1071.3,0.0019,0.0043,11.69,-8.13,-19.44,-13.38,-22.12,"HH minus HV above the dry-land 95th percentile and HH above the same, outside optical water at MNDWI > 0.1, within 10 km of the lake outline, all layers read on 2024-10-21"
