"year","L_HH","L_HV","L_HH_HV"
2007,-12.7321556408924,-20.5492408669468,7.81708522605312
2007,-12.4255395291336,-20.274739769763,7.84920024062866
2008,-13.0105994365139,-20.8112378175469,7.80063838103272
2008,-12.7928523769554,-20.5502430299584,7.75739065300194
2009,-13.4285106869421,-21.452571159954,8.02406047301239
2009,-13.1324467229324,-21.1101097934063,7.97766307047345
2010,-12.8948887667529,-20.8612397995824,7.96635103282842
2010,-12.5467623173975,-20.5126741619409,7.96591184454218
2015,-13.6800322223725,-22.632734633792,8.9527024114199
2015,-13.1824977698727,-22.3201697550262,9.13767898207227
2016,-14.3419320728583,-22.8630993043972,8.52116723154063
2016,-13.1693836607664,-21.8908308998324,8.72144723906767
2017,-12.8082568162306,-21.6261470540765,8.81789023784861
2017,-13.2644814182064,-21.6954231259576,8.43094562977351
2018,-12.8606186646846,-21.1050079546801,8.24438928999781
2018,-12.4277638099528,-20.2199789742184,7.79221569735855
2019,-13.4012425643625,-21.6433487359191,8.24210617155839
2019,-13.5181145172962,-21.7068422900449,8.18872777275063
2020,-13.4291353686774,-22.1315338979924,8.70239852931621
2020,-13.5642716861218,-22.2247393294822,8.66046764336148
2021,-14.1845280104867,-23.4231402796776,9.23861226919083
2022,-14.0664021564434,-22.9694828816034,8.90308072515914
2023,-15.0104613317187,-23.7358569508917,8.72539561917412
2024,-14.7696409445285,-23.4987118739841,8.72907092945271
