capture_id,session_id,datetime,date,model,canonical_photo,n_files,derivative_files,width,height,timestamp_source,clock_reset,scanned,date_reliable,site_hint,cover_hint
1,38,2011-01-01 00:18:28,2011-01-01,EX-Z1000,CIMG1312.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
2,38,2011-01-01 01:14:06,2011-01-01,EX-Z1000,CIMG1316.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
3,38,2011-01-01 01:20:21,2011-01-01,EX-Z1000,CIMG1317.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
4,38,2011-01-01 01:58:11,2011-01-01,EX-Z1000,CIMG1323.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
5,38,2011-01-01 01:58:20,2011-01-01,EX-Z1000,CIMG1325.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
6,38,2011-01-01 01:58:29,2011-01-01,EX-Z1000,CIMG1326-001.JPG,1,,1024,768,DateTimeOriginal,True,False,False,,
7,38,2011-01-01 01:58:50,2011-01-01,EX-Z1000,Zimbo 1.JPG,2,CIMG1329.JPG,3648,2736,DateTimeOriginal,True,False,False,,emergent/flooded vegetation
8,38,2011-01-01 03:31:30,2011-01-01,EX-Z1000,CIMG1333.JPG,2,CIMG1333 (1).JPG,3648,2736,DateTimeOriginal,True,False,False,,
9,38,2011-01-01 03:32:43,2011-01-01,EX-Z1000,Zimbo 2.JPG,3,CIMG1339.JPG; Marshtearoom-001.jpg,3648,2736,DateTimeOriginal,True,False,False,,emergent/flooded vegetation
10,38,2011-01-01 03:32:49,2011-01-01,EX-Z1000,CIMG1340.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
11,38,2011-01-01 03:32:52,2011-01-01,EX-Z1000,CIMG1341.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
12,38,2011-01-01 06:48:32,2011-01-01,EX-Z1000,CIMG1348.JPG,1,,3648,2736,DateTimeOriginal,True,False,False,,
13,38,2011-01-01 06:48:45,2011-01-01,EX-Z1000,sunset.jpg,1,,3648,2457,DateTimeOriginal,True,False,False,,
14,38,2011-01-10 22:39:57,2011-01-10,EX-Z1000,CIMG1362-001.jpg,1,,1024,768,DateTimeOriginal,True,False,False,,
