photo,session_id,date,model,cover_class_reviewed,toponym,lon,lat,method,positional_uncertainty,source,dgps_lon,dgps_lat
CIMG1312.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1316.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1317.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1323.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1325.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1326-001.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1329.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
Zimbo 1.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1333 (1).JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1333.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1339.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
Marshtearoom-001.jpg,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
Zimbo 2.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1340.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1341.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1348.JPG,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
sunset.jpg,1,2011-01-01,EX-Z1000,dry vegetation / exposed lakebed,,,,unresolved,,,,
CIMG1362-001.jpg,2,2011-01-10,EX-Z1000,open water,,,,unresolved,,,,
CIMG1364-001 (1).jpg,2,2011-01-10,EX-Z1000,open water,,,,unresolved,,,,
CIMG1364-001.jpg,2,2011-01-10,EX-Z1000,open water,,,,unresolved,,,,
CIMG1368-001.jpg,3,2011-01-11,EX-Z1000,flooded vegetation,,,,unresolved,,,,
landcanoe.jpg,4,2011-12-21,EX-Z1000,open water,,,,unresolved,,,,
fishtrap.jpg,4,2011-12-21,EX-Z1000,open water,,,,unresolved,,,,
Multiple fish fences and fish traps at Phaloni 1.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
"Multiple fish fences and fish traps, Phaloni.JPG",5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
Sombani River at Phaloni.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni; Sombani River,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
Multiple fish fences and fish traps.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,,,,unresolved,,,,
Checking fish trap.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,,,,unresolved,,,,
Selling fresh Matemba at Phaloni.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
Trapping Matemba at Phaloni.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
Mosquito net.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,,,,unresolved,,,,
Smoked Njolinjo.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,,,,unresolved,,,,
Drying Matemba at Phaloni plus JW & Gibson.JPG,5,2012-02-20,DSC-S5000,flooded vegetation,Phaloni,35.6984,-15.5721,toponym in filename,5 km,on the Sombani; river mouth as proxy,,
CIMG1804-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
marshman-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
marshman.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1808-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1809-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1816 2.JPG,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1816-001(1).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1816-001(2).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1816-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1816.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1817 2.JPG,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
pushboat-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
pushboat.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1821-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1824-001 (1).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1824-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1827.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1832-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
Zambia fishing camp.jpg,6,2012-02-22,EX-Z1000,open water,Zambia fishing camp,,,"toponym found, no gazetteer entry",,Zambia fishing camp,,
CIMG1834-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1835-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1836 (1).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1836.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1838-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
Mr Zambia Zimbo.jpg,6,2012-02-22,EX-Z1000,open water,Zambia fishing camp,,,"toponym found, no gazetteer entry",,Zambia fishing camp,,
CIMG1842-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1843-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1844-001 (2).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1844-001(1).jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1844-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1844.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
Zimbowere through reeds.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1845 2.JPG,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1846-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1846.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
Zimbowera through reeds distant.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1847 2.JPG,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1847-001.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1847.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1848 2.JPG,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1857.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1858.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1866.jpg,6,2012-02-22,EX-Z1000,open water,,,,unresolved,,,,
CIMG1882.JPG,7,2012-02-25,EX-Z1000,flooded cropland (rice paddy),,,,unresolved,,,,
CIMG1901(1).JPG,8,2012-02-28,EX-Z1000,settlement / market,,,,unresolved,,,,
CIMG1901.JPG,8,2012-02-28,EX-Z1000,settlement / market,,,,unresolved,,,,
CIMG1902.JPG,8,2012-02-28,EX-Z1000,settlement / market,,,,unresolved,,,,
CIMG1954-001(1).jpg,9,2012-03-21,EX-Z1000,open water,,,,unresolved,,,,
CIMG1954-001.jpg,9,2012-03-21,EX-Z1000,open water,,,,unresolved,,,,
CIMG1965.jpg,9,2012-03-21,EX-Z1000,open water,,,,unresolved,,,,
CIMG1966-001.jpg,9,2012-03-21,EX-Z1000,open water,,,,unresolved,,,,
CIMG1999-001.jpg,10,2012-03-27,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2005-001.jpg,10,2012-03-27,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2006-001.jpg,10,2012-03-27,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2007-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2008.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2013-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
fishhead-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
fishhead.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2021-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2027.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2029.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2031.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2032-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2033.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2036.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2037.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2039.JPG,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2043-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2047-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2055-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2057.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2068.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
CIMG2070-001.jpg,10,2012-03-28,EX-Z1000,settlement / processing,,,,unresolved,,,,
