photo,datetime,session_id,site_hint,cover_hint
Zimbo 1.JPG,2011-01-01 01:58:50,1,,emergent/flooded vegetation
Multiple fish fences and fish traps at Phaloni 1.JPG,2012-02-20 03:57:52,4,Phaloni,emergent/flooded vegetation; open water
"Multiple fish fences and fish traps, Phaloni.JPG",2012-02-20 03:58:24,4,Phaloni,emergent/flooded vegetation; open water
Sombani River at Phaloni.JPG,2012-02-20 03:59:24,4,Phaloni; Sombani,open water
Multiple fish fences and fish traps.JPG,2012-02-20 03:59:49,4,,emergent/flooded vegetation; open water
Checking fish trap.JPG,2012-02-20 04:00:17,4,,open water
Mosquito net.JPG,2012-02-20 04:04:35,4,,open water
Drying Matemba at Phaloni plus JW & Gibson.JPG,2012-02-20 04:06:27,4,Phaloni,
Zimbo 2.JPG,2012-06-19 18:54:08,22,,emergent/flooded vegetation
fishtrap.jpg,2012-06-19 18:54:32,22,,open water
marshman.jpg,2012-06-19 18:54:38,22,,emergent/flooded vegetation
marshman1.jpg,2012-06-19 18:54:45,22,,emergent/flooded vegetation
fishhead.jpg,2012-06-19 18:56:23,22,,open water
sugarcane boatman.jpg,2012-06-19 18:58:23,22,,open water; dry vegetation
Marshtearoom-001.jpg,2012-06-19 19:00:57,22,,emergent/flooded vegetation
marshman-001.jpg,2012-06-19 19:01:12,22,,emergent/flooded vegetation
Zambia fishing camp.jpg,2012-06-19 19:01:21,22,Zambia,open water
Mr Zambia Zimbo.jpg,2012-06-19 19:01:24,22,Zambia,emergent/flooded vegetation
Zimbowere through reeds.jpg,2012-06-19 19:01:26,22,,emergent/flooded vegetation
Zimbowera through reeds distant.jpg,2012-06-19 19:01:27,22,,emergent/flooded vegetation
fishhead-001.jpg,2012-06-19 19:01:46,22,,open water
Boatman.jpg,2012-06-19 19:06:23,22,,open water
Boatman1.jpg,2012-06-19 19:06:27,22,,open water
Boatman2.jpg,2012-06-19 19:06:38,22,,open water
Selling fresh Matemba at Phaloni.JPG,2014-10-10 11:02:32,25,Phaloni,
Trapping Matemba at Phaloni.JPG,2014-10-10 11:02:39,25,Phaloni,open water
