session_id,kind,start,end,duration_min,n_captures,n_files,devices,first_capture,last_capture,site_hint,cover_hint,site_name,lon,lat,cover_class,position_uncertainty_m,confidence,notes
1,field,2011-12-21 02:59:46,2011-12-21 03:03:50,4.1,2,2,EX-Z1000,landcanoe.jpg,fishtrap.jpg,,open water,,,,,,,
2,field,2012-02-20 03:57:52,2012-02-20 04:06:27,8.6,10,10,DSC-S5000,Multiple fish fences and fish traps at Phaloni 1.JPG,Drying Matemba at Phaloni plus JW & Gibson.JPG,Phaloni; Sombani,open water,,,,,,,
3,field,2012-02-22 08:54:07,2012-02-22 11:31:13,157.1,8,17,EX-Z1000,marshman.jpg,CIMG1827.jpg,,emergent/flooded vegetation; open water,,,,,,,
4,field,2012-02-22 13:12:39,2012-02-22 13:13:11,0.5,4,6,EX-Z1000,CIMG1832-001.jpg,CIMG1836.jpg,Zambia,,,,,,,,
5,field,2012-02-22 14:57:03,2012-02-22 15:01:53,4.8,6,13,EX-Z1000,CIMG1838-001.jpg,CIMG1846.jpg,Zambia,emergent/flooded vegetation,,,,,,,
6,field,2012-02-22 16:48:33,2012-02-22 17:48:42,60.1,5,7,EX-Z1000,CIMG1847.jpg,CIMG1866.jpg,,,,,,,,,
7,field,2012-02-25 07:51:29,2012-02-25 07:51:29,0.0,1,1,EX-Z1000,CIMG1882.JPG,CIMG1882.JPG,,,,,,,,,
8,field,2012-02-28 14:34:31,2012-02-28 14:34:42,0.2,2,3,EX-Z1000,CIMG1901.JPG,CIMG1902.JPG,,,,,,,,,
9,field,2012-03-21 01:37:00,2012-03-21 01:37:00,0.0,1,2,EX-Z1000,CIMG1954-001.jpg,CIMG1954-001.jpg,,,,,,,,,
10,field,2012-03-21 04:50:55,2012-03-21 04:51:36,0.7,2,2,EX-Z1000,CIMG1965.jpg,CIMG1966-001.jpg,,,,,,,,,
11,field,2012-03-27 23:52:29,2012-03-27 23:59:32,7.0,3,3,EX-Z1000,CIMG1999-001.jpg,CIMG2006-001.jpg,,,,,,,,,
12,field,2012-03-28 00:10:21,2012-03-28 04:23:58,253.6,44,52,EX-Z1000,CIMG2007-001.jpg,CIMG2136.JPG,,,,,,,,,
13,field,2012-03-28 06:28:07,2012-03-28 06:45:40,17.6,6,10,EX-Z1000,CIMG2137.JPG,CIMG2149.jpg,,,,,,,,,
14,field,2012-03-28 23:58:07,2012-03-28 23:58:07,0.0,1,1,EX-Z1000,CIMG2174-001.jpg,CIMG2174-001.jpg,,,,,,,,,
15,field,2012-03-29 01:28:08,2012-03-29 02:20:27,52.3,2,3,EX-Z1000,CIMG2190-001.jpg,CIMG2192.JPG,,,,,,,,,
16,field,2012-03-30 02:51:17,2012-03-30 02:51:17,0.0,1,1,EX-Z1000,CIMG2196-001.jpg,CIMG2196-001.jpg,,,,,,,,,
17,field,2012-04-04 00:40:01,2012-04-04 00:54:25,14.4,4,4,EX-Z1000,CIMG2234.jpg,CIMG2241.JPG,,,,,,,,,
18,field,2012-04-19 03:18:31,2012-04-19 04:48:10,89.7,3,5,EX-Z1000,CIMG2247.JPG,CIMG2249.jpg,,,,,,,,,
19,field,2012-04-23 19:40:13,2012-04-23 19:40:58,0.8,5,5,GT-P6210,20120423_194014.jpg,20120423_194058.jpg,,,,,,,,,
20,field,2012-04-29 09:15:23,2012-04-29 09:15:23,0.0,1,1,GT-P6210,20120429_091523.jpg,20120429_091523.jpg,,,,,,,,,
21,field,2012-05-05 12:03:50,2012-05-05 12:03:50,0.0,1,1,GT-P6210,20120505_120351.jpg,20120505_120351.jpg,,,,,,,,,
22,field,2012-05-19 12:56:14,2012-05-19 14:19:18,83.1,20,23,GT-P6210,20120519_125615.jpg,20120519_141919.jpg,,open water,,,,,,,
23,field,2012-05-20 14:14:41,2012-05-20 14:14:41,0.0,1,1,,thomas1.jpg,thomas1.jpg,,,,,,,,,
24,field,2012-05-20 16:18:16,2012-05-20 17:47:10,88.9,2,3,,marshman1.jpg,landcanoe1.jpg,,emergent/flooded vegetation; open water,,,,,,,
25,field,2012-05-21 10:59:18,2012-05-21 10:59:18,0.0,1,1,,sugarcane boatman.jpg,sugarcane boatman.jpg,,open water,,,,,,,
26,field,2012-05-22 23:54:51,2012-05-22 23:54:51,0.0,1,1,,manstandngonboat.jpg,manstandngonboat.jpg,,open water,,,,,,,
27,field,2012-05-23 09:52:01,2012-05-23 09:52:01,0.0,1,1,EX-Z1000,CIMG2484.JPG,CIMG2484.JPG,,,,,,,,,
28,field,2012-05-24 23:35:48,2012-05-24 23:35:48,0.0,1,1,,pushboat1.jpg,pushboat1.jpg,,open water,,,,,,,
29,field,2012-05-29 09:51:48,2012-05-29 09:51:48,0.0,1,1,EX-Z1000,CIMG2603.JPG,CIMG2603.JPG,,,,,,,,,
30,field,2012-05-30 07:33:03,2012-05-30 07:33:03,0.0,1,1,EX-Z1000,CIMG2617.JPG,CIMG2617.JPG,,,,,,,,,
31,field,2012-05-30 10:37:11,2012-05-30 10:37:43,0.5,3,3,EX-Z1000,CIMG2618.JPG,CIMG2620.JPG,,,,,,,,,
32,field,2012-06-12 12:02:14,2012-06-12 12:15:04,12.8,18,18,EX-Z1000,CIMG2808.JPG,CIMG2857.JPG,,,,,,,,,
33,field,2012-06-19 11:07:09,2012-06-19 11:08:39,1.5,11,11,EX-Z1000,CIMG3173.JPG,CIMG3191.JPG,,,,,,,,,
34,field,2012-06-19 13:08:00,2012-06-19 13:08:00,0.0,1,1,EX-Z1000,CIMG3200.JPG,CIMG3200.JPG,,,,,,,,,
35,field,2012-09-26 12:52:17,2012-09-26 12:52:26,0.1,4,4,NIKON D7000,DSC_2375.JPG,DSC_2378.JPG,,,,,,,,,
36,field,2012-12-06 15:10:27,2012-12-06 15:15:03,4.6,2,2,CanoScan LiDE 110,IMG_0014.jpg,IMG_0018.jpg,,,,,,,,,
37,field,2014-11-23 09:26:45,2014-11-23 09:26:45,0.0,1,1,Canon DIGITAL IXUS 430,IMG_5333.JPG,IMG_5333.JPG,,,,,,,,,
38,clock-reset (date unrecoverable),2011-01-01 00:18:28,2011-01-11 04:44:27,14666.0,16,21,EX-Z1000,CIMG1312.JPG,CIMG1368-001.jpg,,emergent/flooded vegetation,,,,,,,
