session_id,start,end,duration_min,n_photos,devices,named_frames,site_hint,cover_hint,date_flag,first_photo,last_photo,site_name,lon,lat,cover_class,confidence,notes
1,2011-01-01 00:18:28,2011-01-01 01:58:50,100,8,EX-Z1000,1,,emergent/flooded vegetation,date unusable: Casio epoch default after a clock reset,CIMG1312.JPG,Zimbo 1.JPG,,,,,,
2,2011-01-01 03:31:30,2011-01-01 03:32:52,1,7,EX-Z1000,2,,emergent/flooded vegetation,date unusable: Casio epoch default after a clock reset,CIMG1333 (1).JPG,CIMG1341.JPG,,,,,,
3,2011-01-01 06:48:32,2011-01-01 06:48:45,0,2,EX-Z1000,1,,,date unusable: Casio epoch default after a clock reset,CIMG1348.JPG,sunset.jpg,,,,,,
4,2011-01-10 22:39:57,2011-01-10 22:41:42,2,3,EX-Z1000,0,,,date unusable: Casio epoch default after a clock reset,CIMG1362-001.jpg,CIMG1364-001.jpg,,,,,,
5,2011-01-11 04:44:27,2011-01-11 04:44:27,0,1,EX-Z1000,0,,,date unusable: Casio epoch default after a clock reset,CIMG1368-001.jpg,CIMG1368-001.jpg,,,,,,
6,2011-12-21 02:59:46,2011-12-21 03:03:50,4,2,EX-Z1000,2,,open water,predates the Sept 2012 fieldwork start given in Methods 2.1,landcanoe.jpg,fishtrap.jpg,,,,,,
7,2012-02-20 03:57:52,2012-02-20 04:06:27,9,10,DSC-S5000,10,Phaloni; Sombani,emergent/flooded vegetation; open water,predates the Sept 2012 fieldwork start given in Methods 2.1,Multiple fish fences and fish traps at Phaloni 1.JPG,Drying Matemba at Phaloni plus JW & Gibson.JPG,,,,,,
8,2012-02-22 08:54:07,2012-02-22 11:31:13,157,17,EX-Z1000,4,,emergent/flooded vegetation,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1804-001.jpg,CIMG1827.jpg,,,,,,
9,2012-02-22 13:12:39,2012-02-22 13:13:11,1,6,EX-Z1000,1,Zambia,open water,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1832-001.jpg,CIMG1836.jpg,,,,,,
10,2012-02-22 14:57:03,2012-02-22 15:01:53,5,13,EX-Z1000,3,Zambia,emergent/flooded vegetation,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1838-001.jpg,Zimbowera through reeds distant.jpg,,,,,,
11,2012-02-22 16:48:33,2012-02-22 17:48:42,60,7,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1847 2.JPG,CIMG1866.jpg,,,,,,
12,2012-02-25 07:51:29,2012-02-25 07:51:29,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1882.JPG,CIMG1882.JPG,,,,,,
13,2012-02-28 14:34:31,2012-02-28 14:34:42,0,3,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1901(1).JPG,CIMG1902.JPG,,,,,,
14,2012-03-21 01:37:00,2012-03-21 01:37:00,0,2,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1954-001(1).jpg,CIMG1954-001.jpg,,,,,,
15,2012-03-21 04:50:55,2012-03-21 04:51:36,1,2,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1965.jpg,CIMG1966-001.jpg,,,,,,
16,2012-03-27 23:52:29,2012-03-28 04:23:58,271,55,EX-Z1000,2,,open water,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG1999-001.jpg,CIMG2136.JPG,,,,,,
17,2012-03-28 06:28:07,2012-03-28 06:45:40,18,10,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2137.JPG,CIMG2149.jpg,,,,,,
18,2012-03-28 23:58:07,2012-03-28 23:58:07,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2174-001.jpg,CIMG2174-001.jpg,,,,,,
19,2012-03-29 01:28:08,2012-03-29 02:20:27,52,3,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2190-001.jpg,CIMG2192.JPG,,,,,,
20,2012-03-30 02:51:17,2012-03-30 02:51:17,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2196-001.jpg,CIMG2196-001.jpg,,,,,,
21,2012-04-04 00:40:01,2012-04-04 00:54:25,14,4,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2234.jpg,CIMG2241.JPG,,,,,,
22,2012-04-19 03:18:31,2012-04-19 04:48:10,90,5,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2247.JPG,CIMG2249.jpg,,,,,,
23,2012-04-23 19:40:13,2012-04-23 19:40:58,1,5,GT-P6210,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,20120423_194014.jpg,20120423_194058.jpg,,,,,,
24,2012-04-29 09:15:23,2012-04-29 09:15:23,0,1,GT-P6210,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,20120429_091523.jpg,20120429_091523.jpg,,,,,,
25,2012-05-05 12:03:50,2012-05-05 12:03:50,0,1,GT-P6210,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,20120505_120351.jpg,20120505_120351.jpg,,,,,,
26,2012-05-19 12:56:14,2012-05-19 14:19:18,83,23,GT-P6210,4,,open water,predates the Sept 2012 fieldwork start given in Methods 2.1,20120519_125615.jpg,20120519_141919.jpg,,,,,,
27,2012-05-20 14:14:41,2012-05-20 14:14:41,0,1,,1,,,predates the Sept 2012 fieldwork start given in Methods 2.1,thomas1.jpg,thomas1.jpg,,,,,,
28,2012-05-20 16:18:16,2012-05-20 17:47:10,89,3,,3,,emergent/flooded vegetation,predates the Sept 2012 fieldwork start given in Methods 2.1,marshman1.jpg,landcanoe1.jpg,,,,,,
29,2012-05-21 10:59:18,2012-05-21 10:59:18,0,1,,1,,open water; dry vegetation,predates the Sept 2012 fieldwork start given in Methods 2.1,sugarcane boatman.jpg,sugarcane boatman.jpg,,,,,,
30,2012-05-22 23:54:51,2012-05-22 23:54:51,0,1,,1,,,predates the Sept 2012 fieldwork start given in Methods 2.1,manstandngonboat.jpg,manstandngonboat.jpg,,,,,,
31,2012-05-23 09:52:01,2012-05-23 09:52:01,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2484.JPG,CIMG2484.JPG,,,,,,
32,2012-05-24 23:35:48,2012-05-24 23:35:48,0,1,,1,,,predates the Sept 2012 fieldwork start given in Methods 2.1,pushboat1.jpg,pushboat1.jpg,,,,,,
33,2012-05-29 09:51:48,2012-05-29 09:51:48,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2603.JPG,CIMG2603.JPG,,,,,,
34,2012-05-30 07:33:03,2012-05-30 07:33:03,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2617.JPG,CIMG2617.JPG,,,,,,
35,2012-05-30 10:37:11,2012-05-30 10:37:43,1,3,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2618.JPG,CIMG2620.JPG,,,,,,
36,2012-06-12 12:02:14,2012-06-12 12:15:04,13,18,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG2808.JPG,CIMG2857.JPG,,,,,,
37,2012-06-19 11:07:09,2012-06-19 11:08:39,2,11,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG3173.JPG,CIMG3191.JPG,,,,,,
38,2012-06-19 13:08:00,2012-06-19 13:08:00,0,1,EX-Z1000,0,,,predates the Sept 2012 fieldwork start given in Methods 2.1,CIMG3200.JPG,CIMG3200.JPG,,,,,,
39,2012-09-26 12:52:17,2012-09-26 12:52:26,0,4,NIKON D7000,0,,,,DSC_2375.JPG,DSC_2378.JPG,,,,,,
40,2012-12-06 15:10:27,2012-12-06 15:15:03,5,2,CanoScan LiDE 110,0,,,,IMG_0014.jpg,IMG_0018.jpg,,,,,,
41,2014-11-23 09:26:45,2014-11-23 09:26:45,0,1,Canon DIGITAL IXUS 430,0,,,postdates the Mar 2014 fieldwork end given in Methods 2.1,IMG_5333.JPG,IMG_5333.JPG,,,,,,
