"year","n_scenes","water_frac","flooded_veg_frac"
1984,2,0.170188760052239,0.0266326345153635
1986,5,0.125869548988588,0.106458297765498
1987,2,0.0363666232873651,0.16451174675396
1989,8,0.167219892193323,0.0956517344356185
1990,13,0.157888350456585,0.102179123641191
1991,10,0.180140005679587,0.090204550286555
1992,3,0.0536867997010935,0.0557027768671161
1993,10,0.140233544361825,0.0978448785675583
1994,14,0.177619768071074,0.0507439762464963
1995,13,0.095381653607592,0.119525931928102
1996,14,0.0973476188508524,0.137337053199031
1997,13,0.119586938248483,0.101725954013298
1998,25,0.126478763429219,0.0843233262902776
1999,6,0.1456677777264,0.0816456196103414
2000,5,0.221987626404567,0.0356176543608638
2001,3,0.154121027085246,0.130633368870543
2003,3,0.0134918549726233,0.00419322971645951
2004,5,0.177120969626798,0.102576900552308
2005,15,0.172245607408416,0.0532832954904644
2006,15,0.141270670433014,0.067177684736908
2007,18,0.147851019835801,0.0857750213453637
2008,20,0.17297524300682,0.0855815780788748
2009,8,0.136564378798588,0.099841220081049
2010,5,0.131281466314118,0.0800693542032638
2011,4,0.13901742671354,0.053382875643643
2013,26,0.136057261146077,0.126465031909825
2014,35,0.141454853461437,0.101363659929423
2015,38,0.142741246090252,0.139025446327535
2016,29,0.172363242018485,0.0607556349398768
2017,34,0.129186549420565,0.103078976939835
2018,39,0.109208167176362,0.109439236440343
2019,42,0.108649197866577,0.143371567741031
2020,43,0.136004210612563,0.105521421678981
2021,37,0.128346387066834,0.0985751491172032
2022,33,0.12811302762738,0.121617135419686
2023,41,0.206330521708137,0.114346497747634
2024,39,0.237950077586131,0.035141295952548
