photo,datetime,date,gps_lat,gps_lon,has_gps
20120423_194014.jpg,2012:04:23 19:40:13,2012-04-23,,,0
20120423_194025.jpg,2012:04:23 19:40:24,2012-04-23,,,0
20120423_194036.jpg,2012:04:23 19:40:36,2012-04-23,,,0
20120423_194048.jpg,2012:04:23 19:40:47,2012-04-23,,,0
20120423_194058.jpg,2012:04:23 19:40:58,2012-04-23,,,0
20120429_091523.jpg,2012:04:29 09:15:23,2012-04-29,,,0
20120505_120351.jpg,2012:05:05 12:03:50,2012-05-05,,,0
20120519_125615.jpg,2012:05:19 12:56:14,2012-05-19,,,0
20120519_130454.jpg,2012:05:19 13:04:54,2012-05-19,,,0
20120519_130705.jpg,2012:05:19 13:07:04,2012-05-19,,,0
20120519_130714.jpg,2012:05:19 13:07:14,2012-05-19,,,0
20120519_131158.jpg,2012:05:19 13:11:58,2012-05-19,,,0
20120519_131237.jpg,2012:05:19 13:12:37,2012-05-19,,,0
20120519_131336.jpg,2012:05:19 13:13:35,2012-05-19,,,0
20120519_132245.jpg,2012:05:19 13:22:44,2012-05-19,,,0
20120519_132343.jpg,2012:05:19 13:23:42,2012-05-19,,,0
20120519_132530.jpg,2012:05:19 13:25:29,2012-05-19,,,0
20120519_132558.jpg,2012:05:19 13:25:57,2012-05-19,,,0
20120519_132616.jpg,2012:05:19 13:26:15,2012-05-19,,,0
20120519_140316.jpg,2012:05:19 14:03:15,2012-05-19,,,0
20120519_140323.jpg,2012:05:19 14:03:22,2012-05-19,,,0
20120519_140326.jpg,2012:05:19 14:03:26,2012-05-19,,,0
20120519_140339.jpg,2012:05:19 14:03:39,2012-05-19,,,0
20120519_140349.jpg,2012:05:19 14:03:48,2012-05-19,,,0
20120519_140418.jpg,2012:05:19 14:04:17,2012-05-19,,,0
20120519_141919.jpg,2012:05:19 14:19:18,2012-05-19,,,0
Boatman.jpg,2012:05:19 13:18:53,2012-05-19,,,0
Boatman1.jpg,2012:05:19 13:18:53,2012-05-19,,,0
Boatman2.jpg,2012:05:19 13:18:53,2012-05-19,,,0
CIMG1312.JPG,2011:01:01 00:18:28,2011-01-01,,,0
CIMG1316.JPG,2011:01:01 01:14:06,2011-01-01,,,0
CIMG1317.JPG,2011:01:01 01:20:21,2011-01-01,,,0
CIMG1323.JPG,2011:01:01 01:58:11,2011-01-01,,,0
CIMG1325.JPG,2011:01:01 01:58:20,2011-01-01,,,0
CIMG1326-001.JPG,2011:01:01 01:58:29,2011-01-01,,,0
CIMG1329.JPG,2011:01:01 01:58:50,2011-01-01,,,0
CIMG1333 (1).JPG,2011:01:01 03:31:30,2011-01-01,,,0
CIMG1333.JPG,2011:01:01 03:31:30,2011-01-01,,,0
CIMG1339.JPG,2011:01:01 03:32:43,2011-01-01,,,0
CIMG1340.JPG,2011:01:01 03:32:49,2011-01-01,,,0
CIMG1341.JPG,2011:01:01 03:32:52,2011-01-01,,,0
CIMG1348.JPG,2011:01:01 06:48:32,2011-01-01,,,0
CIMG1362-001.jpg,2011:01:10 22:39:57,2011-01-10,,,0
CIMG1364-001 (1).jpg,2011:01:10 22:41:42,2011-01-10,,,0
CIMG1364-001.jpg,2011:01:10 22:41:42,2011-01-10,,,0
CIMG1368-001.jpg,2011:01:11 04:44:27,2011-01-11,,,0
CIMG1804-001.jpg,2012:02:22 08:54:07,2012-02-22,,,0
CIMG1808-001.jpg,2012:02:22 09:41:57,2012-02-22,,,0
CIMG1809-001.jpg,2012:02:22 09:42:17,2012-02-22,,,0
CIMG1816 2.JPG,2012:02:22 10:25:45,2012-02-22,,,0
CIMG1816-001(1).jpg,2012:02:22 10:25:45,2012-02-22,,,0
CIMG1816-001(2).jpg,2012:02:22 10:25:45,2012-02-22,,,0
CIMG1816-001.jpg,2012:02:22 10:25:45,2012-02-22,,,0
CIMG1816.jpg,2012:02:22 10:25:45,2012-02-22,,,0
CIMG1817 2.JPG,2012:02:22 10:25:53,2012-02-22,,,0
CIMG1821-001.jpg,2012:02:22 11:25:37,2012-02-22,,,0
CIMG1824-001 (1).jpg,2012:02:22 11:26:44,2012-02-22,,,0
CIMG1824-001.jpg,2012:02:22 11:26:44,2012-02-22,,,0
CIMG1827.jpg,2012:02:22 11:31:13,2012-02-22,,,0
CIMG1832-001.jpg,2012:02:22 13:12:39,2012-02-22,,,0
CIMG1834-001.jpg,2012:02:22 13:12:59,2012-02-22,,,0
CIMG1835-001.jpg,2012:02:22 13:13:06,2012-02-22,,,0
CIMG1836 (1).jpg,2012:02:22 13:13:11,2012-02-22,,,0
CIMG1836.jpg,2012:02:22 13:13:11,2012-02-22,,,0
CIMG1838-001.jpg,2012:02:22 14:57:03,2012-02-22,,,0
CIMG1842-001.jpg,2012:02:22 15:01:26,2012-02-22,,,0
CIMG1843-001.jpg,2012:02:22 15:01:35,2012-02-22,,,0
CIMG1844-001 (2).jpg,2012:02:22 15:01:42,2012-02-22,,,0
CIMG1844-001(1).jpg,2012:02:22 15:01:42,2012-02-22,,,0
CIMG1844-001.jpg,2012:02:22 15:01:42,2012-02-22,,,0
CIMG1844.jpg,2012:02:22 15:01:42,2012-02-22,,,0
CIMG1845 2.JPG,2012:02:22 15:01:47,2012-02-22,,,0
CIMG1846-001.jpg,2012:02:22 15:01:53,2012-02-22,,,0
CIMG1846.jpg,2012:02:22 15:01:53,2012-02-22,,,0
CIMG1847 2.JPG,2012:02:22 16:48:33,2012-02-22,,,0
CIMG1847-001.jpg,2012:02:22 16:48:33,2012-02-22,,,0
CIMG1847.jpg,2012:02:22 16:48:33,2012-02-22,,,0
CIMG1848 2.JPG,2012:02:22 16:48:39,2012-02-22,,,0
CIMG1857.jpg,2012:02:22 16:55:23,2012-02-22,,,0
CIMG1858.jpg,2012:02:22 16:56:32,2012-02-22,,,0
CIMG1866.jpg,2012:02:22 17:48:42,2012-02-22,,,0
CIMG1882.JPG,2012:02:25 07:51:29,2012-02-25,,,0
CIMG1901(1).JPG,2012:02:28 14:34:31,2012-02-28,,,0
CIMG1901.JPG,2012:02:28 14:34:31,2012-02-28,,,0
CIMG1902.JPG,2012:02:28 14:34:42,2012-02-28,,,0
CIMG1954-001(1).jpg,2012:03:21 01:37:00,2012-03-21,,,0
CIMG1954-001.jpg,2012:03:21 01:37:00,2012-03-21,,,0
CIMG1965.jpg,2012:03:21 04:50:55,2012-03-21,,,0
CIMG1966-001.jpg,2012:03:21 04:51:36,2012-03-21,,,0
CIMG1999-001.jpg,2012:03:27 23:52:29,2012-03-27,,,0
CIMG2005-001.jpg,2012:03:27 23:58:59,2012-03-27,,,0
CIMG2006-001.jpg,2012:03:27 23:59:32,2012-03-27,,,0
CIMG2007-001.jpg,2012:03:28 00:10:21,2012-03-28,,,0
CIMG2008.JPG,2012:03:28 00:10:29,2012-03-28,,,0
CIMG2013-001.jpg,2012:03:28 00:24:19,2012-03-28,,,0
CIMG2021-001.jpg,2012:03:28 00:43:29,2012-03-28,,,0
CIMG2027.JPG,2012:03:28 00:47:21,2012-03-28,,,0
CIMG2029.jpg,2012:03:28 00:47:54,2012-03-28,,,0
CIMG2031.JPG,2012:03:28 00:48:14,2012-03-28,,,0
CIMG2032-001.jpg,2012:03:28 00:49:17,2012-03-28,,,0
CIMG2033.JPG,2012:03:28 00:53:39,2012-03-28,,,0
