"year","n_scenes","NDWI","MNDWI","AWEIsh","WRI","NDPI"
1984,2,-0.294852881943703,-0.348684387446211,-0.34448217820523,0.598684328966486,0.348684387446211
1986,5,-0.440813630958481,-0.298232915086371,-0.398427158580967,0.57017708064562,0.298232915086371
1987,2,-0.575882000802663,-0.381933443993176,-0.482539654704894,0.353279666100374,0.381933443993176
1989,8,-0.370945048353548,-0.31551861482826,-0.34245011079294,0.65065809501826,0.31551861482826
1990,13,-0.372713923707079,-0.27944347680951,-0.344010669966838,0.710936239122097,0.27944347680951
1991,10,-0.332979194029737,-0.256415222155568,-0.309737759556132,0.701430689292547,0.256415222155568
1992,3,-0.432511638649818,-0.453799101123093,-0.373011791411401,0.405017269032673,0.453799101123093
1993,10,-0.408423754142267,-0.302511914142878,-0.379075423182994,0.610155961381416,0.302511914142878
1994,14,-0.297229345547259,-0.30444938367652,-0.333088146540569,0.611993563261801,0.30444938367652
1995,13,-0.401190877280557,-0.38058480537024,-0.371816313533201,0.440194219508671,0.38058480537024
1996,14,-0.467327564322027,-0.350633312711353,-0.383961546944407,0.482635476625131,0.350633312711353
1997,13,-0.416171556828111,-0.353771524854732,-0.363061102814618,0.531390606763776,0.353771524854732
1998,25,-0.371895129324588,-0.315768047180938,-0.379176583782521,0.587509814851601,0.315768047180938
1999,14,-0.367712421054472,-0.343106649923081,-0.363826490786667,0.611250940152768,0.343106649923081
2000,13,-0.322351270584903,-0.31901442046875,-0.334305799746355,0.657542046476764,0.31901442046875
2001,25,-0.334954557384744,-0.309626695722021,-0.34106499252508,0.6414775505983,0.309626695722021
2002,25,-0.365152552072977,-0.319933426056503,-0.358274325980982,0.667676213052785,0.319933426056503
2003,20,-0.348107845357683,-0.326173621044485,-0.359574547071362,0.665836470853717,0.326173621044485
2004,21,-0.389719180424776,-0.321478956748571,-0.367654286369428,0.676418997374278,0.321478956748571
2005,44,-0.337754179974013,-0.311535603269219,-0.364340828773279,0.657767749983349,0.311535603269219
2006,38,-0.38972944354262,-0.33394790404452,-0.377024832082693,0.61185582636015,0.33394790404452
2007,40,-0.384163765771302,-0.317210161799362,-0.36755648701539,0.622697345415035,0.317210161799362
2008,46,-0.323054442025552,-0.309531405468373,-0.343425961207498,0.658311793139966,0.309531405468373
2009,28,-0.438148712721809,-0.323417727799469,-0.381027191212498,0.631642301775317,0.323417727799469
2010,21,-0.362908328356936,-0.322521254936522,-0.369332362240202,0.633961218725347,0.322521254936522
2011,25,-0.357006812449713,-0.34346908658963,-0.371256267777346,0.63804444013453,0.34346908658963
2012,25,-0.395215436017662,-0.35254075752929,-0.40118059057564,0.542509617045259,0.35254075752929
2013,55,-0.396456479270584,-0.357354081170147,-0.407171788344438,0.577261395166942,0.357354081170147
2014,59,-0.395865039193233,-0.365844089376367,-0.422226070161769,0.584140694295798,0.365844089376367
2015,73,-0.420626525055627,-0.331272423401751,-0.413384335276327,0.568293627696951,0.331272423401751
2016,66,-0.364043344258308,-0.352988648483947,-0.404741404260178,0.608936383077108,0.352988648483947
2017,62,-0.405603346118578,-0.378847720630935,-0.422881305534643,0.524234049798701,0.378847720630935
2018,65,-0.411390387916371,-0.418387714690126,-0.438797283268334,0.457748695983486,0.418387714690126
2019,73,-0.433925633622322,-0.363773303549281,-0.422160347340486,0.49709555499964,0.363773303549281
2020,75,-0.377060813006439,-0.357945332478211,-0.395193848195266,0.577965906448603,0.357945332478211
2021,69,-0.406846033830395,-0.368295949116927,-0.411380687764157,0.60141702350555,0.368295949116927
2022,69,-0.390482805382832,-0.341216499130963,-0.39477499132455,0.573459616068481,0.341216499130963
2023,79,-0.381224478986724,-0.218362652839041,-0.35528752609112,0.725692831769505,0.218362652839041
2024,39,-0.317619713281906,-0.244273054254474,-0.371460871077892,0.763390435704413,0.244273054254474
