session_id,start,end,n_photos,devices,first_photo,last_photo,site_name,lon,lat,cover_class,confidence,notes
1,2011-01-01 00:18:28,2011-01-01 06:48:32,10,EX-Z1000,CIMG1312.JPG,CIMG1348.JPG,,,,,,
2,2012-02-20 03:57:52,2012-02-20 04:06:27,8,DSC-S5000,Multiple fish fences and fish traps at Phaloni 1.JPG,Drying Matemba at Phaloni plus JW & Gibson.JPG,,,,,,
3,2012-02-22 10:25:45,2012-02-22 16:48:39,5,EX-Z1000,CIMG1816 2.JPG,CIMG1848 2.JPG,,,,,,
4,2012-02-25 07:51:29,2012-02-25 07:51:29,1,EX-Z1000,CIMG1882.JPG,CIMG1882.JPG,,,,,,
5,2012-02-28 14:34:31,2012-02-28 14:34:42,3,EX-Z1000,CIMG1901(1).JPG,CIMG1902.JPG,,,,,,
6,2012-03-28 00:10:29,2012-03-28 06:28:55,23,EX-Z1000,CIMG2008.JPG,CIMG2143.JPG,,,,,,
7,2012-03-29 02:20:27,2012-03-29 02:20:27,2,EX-Z1000,CIMG2192(1).JPG,CIMG2192.JPG,,,,,,
8,2012-04-04 00:54:14,2012-04-04 00:54:25,3,EX-Z1000,CIMG2239.JPG,CIMG2241.JPG,,,,,,
9,2012-04-19 03:18:31,2012-04-19 04:48:10,3,EX-Z1000,CIMG2247.JPG,CIMG2249 2.JPG,,,,,,
10,2012-05-23 09:52:01,2012-05-23 09:52:01,1,EX-Z1000,CIMG2484.JPG,CIMG2484.JPG,,,,,,
11,2012-05-29 09:51:48,2012-05-29 09:51:48,1,EX-Z1000,CIMG2603.JPG,CIMG2603.JPG,,,,,,
12,2012-05-30 07:33:03,2012-05-30 10:37:43,4,EX-Z1000,CIMG2617.JPG,CIMG2620.JPG,,,,,,
13,2012-06-12 12:02:14,2012-06-12 12:15:04,18,EX-Z1000,CIMG2808.JPG,CIMG2857.JPG,,,,,,
14,2012-06-19 11:07:09,2012-06-19 19:06:38,152,EX-Z1000; GT-P6210,CIMG3173.JPG,Boatman2.jpg,,,,,,
15,2012-09-26 12:52:17,2012-09-26 12:52:26,4,NIKON D7000,DSC_2375.JPG,DSC_2378.JPG,,,,,,
16,2012-12-06 15:10:27,2012-12-06 15:15:03,2,CanoScan LiDE 110,IMG_0014.jpg,IMG_0018.jpg,,,,,,
17,2014-10-10 11:02:32,2014-10-10 11:02:39,2,DSC-S5000,Selling fresh Matemba at Phaloni.JPG,Trapping Matemba at Phaloni.JPG,,,,,,
18,2014-11-24 14:44:02,2014-11-24 14:44:02,1,Canon DIGITAL IXUS 430,IMG_5333.JPG,IMG_5333.JPG,,,,,,
