"year","n","sensor","screen"
1984,6,"L5 TM","all"
1985,1,"L5 TM","all"
1986,14,"L5 TM","all"
1987,8,"L5 TM","all"
1989,12,"L5 TM","all"
1990,22,"L5 TM","all"
1991,18,"L5 TM","all"
1992,3,"L5 TM","all"
1993,16,"L5 TM","all"
1994,28,"L5 TM","all"
1995,29,"L5 TM","all"
1996,16,"L5 TM","all"
1997,18,"L5 TM","all"
1998,37,"L5 TM","all"
1999,19,"L5 TM","all"
2000,16,"L5 TM","all"
2001,8,"L5 TM","all"
2003,7,"L5 TM","all"
2004,16,"L5 TM","all"
2005,24,"L5 TM","all"
2006,28,"L5 TM","all"
2007,28,"L5 TM","all"
2008,29,"L5 TM","all"
2009,14,"L5 TM","all"
2010,13,"L5 TM","all"
2011,10,"L5 TM","all"
1984,2,"L5 TM","cloud < 30%"
1986,5,"L5 TM","cloud < 30%"
1987,2,"L5 TM","cloud < 30%"
1989,8,"L5 TM","cloud < 30%"
1990,13,"L5 TM","cloud < 30%"
1991,10,"L5 TM","cloud < 30%"
1992,3,"L5 TM","cloud < 30%"
1993,10,"L5 TM","cloud < 30%"
1994,14,"L5 TM","cloud < 30%"
1995,13,"L5 TM","cloud < 30%"
1996,14,"L5 TM","cloud < 30%"
1997,13,"L5 TM","cloud < 30%"
1998,25,"L5 TM","cloud < 30%"
1999,6,"L5 TM","cloud < 30%"
2000,5,"L5 TM","cloud < 30%"
2001,3,"L5 TM","cloud < 30%"
2003,4,"L5 TM","cloud < 30%"
2004,5,"L5 TM","cloud < 30%"
2005,15,"L5 TM","cloud < 30%"
2006,15,"L5 TM","cloud < 30%"
2007,18,"L5 TM","cloud < 30%"
2008,20,"L5 TM","cloud < 30%"
2009,8,"L5 TM","cloud < 30%"
2010,5,"L5 TM","cloud < 30%"
2011,4,"L5 TM","cloud < 30%"
1999,10,"L7 ETM+","all"
2000,23,"L7 ETM+","all"
2001,33,"L7 ETM+","all"
2002,45,"L7 ETM+","all"
2003,33,"L7 ETM+","all"
2004,27,"L7 ETM+","all"
2005,38,"L7 ETM+","all"
2006,28,"L7 ETM+","all"
2007,37,"L7 ETM+","all"
2008,36,"L7 ETM+","all"
2009,26,"L7 ETM+","all"
2010,23,"L7 ETM+","all"
2011,30,"L7 ETM+","all"
2012,41,"L7 ETM+","all"
2013,53,"L7 ETM+","all"
2014,55,"L7 ETM+","all"
2015,55,"L7 ETM+","all"
2016,60,"L7 ETM+","all"
2017,52,"L7 ETM+","all"
2018,52,"L7 ETM+","all"
2019,55,"L7 ETM+","all"
2020,59,"L7 ETM+","all"
2021,52,"L7 ETM+","all"
2022,53,"L7 ETM+","all"
2023,65,"L7 ETM+","all"
2024,2,"L7 ETM+","all"
1999,8,"L7 ETM+","cloud < 30%"
2000,8,"L7 ETM+","cloud < 30%"
2001,22,"L7 ETM+","cloud < 30%"
2002,25,"L7 ETM+","cloud < 30%"
2003,17,"L7 ETM+","cloud < 30%"
2004,16,"L7 ETM+","cloud < 30%"
2005,29,"L7 ETM+","cloud < 30%"
2006,23,"L7 ETM+","cloud < 30%"
2007,22,"L7 ETM+","cloud < 30%"
2008,26,"L7 ETM+","cloud < 30%"
2009,20,"L7 ETM+","cloud < 30%"
2010,16,"L7 ETM+","cloud < 30%"
2011,21,"L7 ETM+","cloud < 30%"
2012,26,"L7 ETM+","cloud < 30%"
2013,29,"L7 ETM+","cloud < 30%"
2014,24,"L7 ETM+","cloud < 30%"
2015,35,"L7 ETM+","cloud < 30%"
2016,37,"L7 ETM+","cloud < 30%"
2017,28,"L7 ETM+","cloud < 30%"
2018,26,"L7 ETM+","cloud < 30%"
2019,31,"L7 ETM+","cloud < 30%"
2020,32,"L7 ETM+","cloud < 30%"
2021,32,"L7 ETM+","cloud < 30%"
2022,36,"L7 ETM+","cloud < 30%"
2023,38,"L7 ETM+","cloud < 30%"
2013,47,"L8 OLI","all"
2014,61,"L8 OLI","all"
2015,63,"L8 OLI","all"
2016,59,"L8 OLI","all"
2017,55,"L8 OLI","all"
2018,61,"L8 OLI","all"
2019,63,"L8 OLI","all"
2020,62,"L8 OLI","all"
2021,61,"L8 OLI","all"
2022,63,"L8 OLI","all"
2023,66,"L8 OLI","all"
2024,63,"L8 OLI","all"
2025,57,"L8 OLI","all"
2026,25,"L8 OLI","all"
2013,26,"L8 OLI","cloud < 30%"
2014,35,"L8 OLI","cloud < 30%"
2015,38,"L8 OLI","cloud < 30%"
2016,29,"L8 OLI","cloud < 30%"
2017,34,"L8 OLI","cloud < 30%"
2018,39,"L8 OLI","cloud < 30%"
2019,42,"L8 OLI","cloud < 30%"
2020,43,"L8 OLI","cloud < 30%"
2021,37,"L8 OLI","cloud < 30%"
2022,33,"L8 OLI","cloud < 30%"
2023,41,"L8 OLI","cloud < 30%"
2024,39,"L8 OLI","cloud < 30%"
2025,30,"L8 OLI","cloud < 30%"
2026,13,"L8 OLI","cloud < 30%"
2014,6,"S1 C-band","all"
2015,38,"S1 C-band","all"
2016,39,"S1 C-band","all"
2017,87,"S1 C-band","all"
2018,73,"S1 C-band","all"
2019,89,"S1 C-band","all"
2020,89,"S1 C-band","all"
2021,91,"S1 C-band","all"
2022,108,"S1 C-band","all"
2023,117,"S1 C-band","all"
2024,112,"S1 C-band","all"
2025,122,"S1 C-band","all"
2026,62,"S1 C-band","all"
