"year","n_scenes","water_frac","flooded_veg_frac"
1984,2,0.116938616998939,0.0370472040672475
1986,5,0.128443679415014,0.184607544002412
1987,2,0.0374576946190718,0.292930541626207
1989,8,0.146241230794507,0.149282908861396
1990,13,0.156042790097335,0.181803405785468
1991,10,0.180790438934468,0.148123431867905
1992,3,0.0704575701514929,0.194391354594177
1993,10,0.143749852802878,0.174175376524265
1994,14,0.135276497733087,0.0599702897408044
1995,13,0.0531352373779351,0.158019492015583
1996,14,0.098065912936823,0.239979199989043
1997,13,0.115392467246517,0.170982007208562
1998,25,0.130343794105895,0.149213764020894
1999,6,0.134266948432954,0.150823342797072
2000,5,0.151925425367477,0.0551926752833783
2001,3,0.157838698741103,0.227711889183266
2003,3,0.00990079263053757,0.0330151786918898
2004,5,0.164867621406181,0.178458822613301
2005,15,0.140317600698653,0.0517729029282628
2006,15,0.137498301811803,0.103226979792353
2007,18,0.142091723707525,0.158778551837792
2008,20,0.151081454006396,0.11931056694042
2009,8,0.135106784746322,0.168826248009665
2010,5,0.128170182105898,0.159461287051556
2011,4,0.110202600763465,0.0809512094334383
2013,26,0.120898824976325,0.120963667194279
2014,35,0.117649693920566,0.0947896458384073
2015,38,0.133075311904743,0.133010073332566
2016,29,0.12058421558118,0.0551984950890106
2017,34,0.104969743834127,0.0980474848770939
2018,39,0.0822832746660383,0.104540736742709
2019,42,0.0944478717546483,0.139366950627134
2020,43,0.111419153056614,0.100507687459652
2021,37,0.111802396563186,0.0931759411620028
2022,33,0.114232532787043,0.115798114966966
2023,41,0.203343598570662,0.112377357567819
2024,39,0.20799600765502,0.0297266492893998
